13 Mot inconnu : planet [[4:10]] =>   * planet <|> planet

22 Forme interrogative ? Mettez un trait d’union. [[0:14]] => Inscrivez vous à la mailing list en envoyant un mail à ubuntu_webdev-fr CHEZ lists.ubuntu-eu POINT org, puis ajoutez-vous à la liste ci-dessous: <|> inscrivez vous => suggestions : ['Inscrivez-vous']
22 Accord de genre erroné : « mailing » est masculin. [[17:19]] => Inscrivez vous à la mailing list en envoyant un mail à ubuntu_webdev-fr CHEZ lists.ubuntu-eu POINT org, puis ajoutez-vous à la liste ci-dessous: <|> la => suggestions : ['le']
22 Mot inconnu : list [[28:32]] => Inscrivez vous à la mailing list en envoyant un mail à ubuntu_webdev-fr CHEZ lists.ubuntu-eu POINT org, puis ajoutez-vous à la liste ci-dessous: <|> list
22 Mot inconnu : ubuntu_webdev-fr [[55:71]] => Inscrivez vous à la mailing list en envoyant un mail à ubuntu_webdev-fr CHEZ lists.ubuntu-eu POINT org, puis ajoutez-vous à la liste ci-dessous: <|> ubuntu_webdev-fr
22 Mot inconnu : lists [[77:82]] => Inscrivez vous à la mailing list en envoyant un mail à ubuntu_webdev-fr CHEZ lists.ubuntu-eu POINT org, puis ajoutez-vous à la liste ci-dessous: <|> lists
22 Mot inconnu : ubuntu-eu [[83:92]] => Inscrivez vous à la mailing list en envoyant un mail à ubuntu_webdev-fr CHEZ lists.ubuntu-eu POINT org, puis ajoutez-vous à la liste ci-dessous: <|> ubuntu-eu

24 Mot inconnu : email [[24:29]] => ^ Nom Prénom (Pseudo) ^ email (pas en clair...) ^ messagerie instantanée si dispo ^ intéret dans le projet ^ <|> email
24 Typographie : points de suspension. Utilisez le caractère dédié. [[43:46]] => ^ Nom Prénom (Pseudo) ^ email (pas en clair...) ^ messagerie instantanée si dispo ^ intéret dans le projet ^ <|> ... => suggestions : ['…']
24 Mot inconnu : dispo [[76:81]] => ^ Nom Prénom (Pseudo) ^ email (pas en clair...) ^ messagerie instantanée si dispo ^ intéret dans le projet ^ <|> dispo
24 Mot inconnu : intéret [[84:91]] => ^ Nom Prénom (Pseudo) ^ email (pas en clair...) ^ messagerie instantanée si dispo ^ intéret dans le projet ^ <|> intéret

25 Mot inconnu : Sauthier [[13:21]] => | Christophe Sauthier (huats) | christophe POINT sauthier CHEZ gmail POINT com | christophe POINT sauthier CHEZ gmail POINT com (jabber) | Developpeur et admin du site ubuntu-fr |  <|> sauthier
25 Mot inconnu : huats [[23:28]] => | Christophe Sauthier (huats) | christophe POINT sauthier CHEZ gmail POINT com | christophe POINT sauthier CHEZ gmail POINT com (jabber) | Developpeur et admin du site ubuntu-fr |  <|> huats
25 Mot inconnu : christophe [[32:42]] => | Christophe Sauthier (huats) | christophe POINT sauthier CHEZ gmail POINT com | christophe POINT sauthier CHEZ gmail POINT com (jabber) | Developpeur et admin du site ubuntu-fr |  <|> christophe
25 Mot inconnu : sauthier [[49:57]] => | Christophe Sauthier (huats) | christophe POINT sauthier CHEZ gmail POINT com | christophe POINT sauthier CHEZ gmail POINT com (jabber) | Developpeur et admin du site ubuntu-fr |  <|> sauthier
25 Mot inconnu : gmail [[63:68]] => | Christophe Sauthier (huats) | christophe POINT sauthier CHEZ gmail POINT com | christophe POINT sauthier CHEZ gmail POINT com (jabber) | Developpeur et admin du site ubuntu-fr |  <|> gmail
25 Mot inconnu : christophe [[81:91]] => | Christophe Sauthier (huats) | christophe POINT sauthier CHEZ gmail POINT com | christophe POINT sauthier CHEZ gmail POINT com (jabber) | Developpeur et admin du site ubuntu-fr |  <|> christophe
25 Mot inconnu : sauthier [[98:106]] => | Christophe Sauthier (huats) | christophe POINT sauthier CHEZ gmail POINT com | christophe POINT sauthier CHEZ gmail POINT com (jabber) | Developpeur et admin du site ubuntu-fr |  <|> sauthier
25 Mot inconnu : gmail [[112:117]] => | Christophe Sauthier (huats) | christophe POINT sauthier CHEZ gmail POINT com | christophe POINT sauthier CHEZ gmail POINT com (jabber) | Developpeur et admin du site ubuntu-fr |  <|> gmail
25 Mot inconnu : jabber [[129:135]] => | Christophe Sauthier (huats) | christophe POINT sauthier CHEZ gmail POINT com | christophe POINT sauthier CHEZ gmail POINT com (jabber) | Developpeur et admin du site ubuntu-fr |  <|> jabber
25 Mot inconnu : Developpeur [[139:150]] => | Christophe Sauthier (huats) | christophe POINT sauthier CHEZ gmail POINT com | christophe POINT sauthier CHEZ gmail POINT com (jabber) | Developpeur et admin du site ubuntu-fr |  <|> developpeur
25 Mot inconnu : ubuntu-fr [[168:177]] => | Christophe Sauthier (huats) | christophe POINT sauthier CHEZ gmail POINT com | christophe POINT sauthier CHEZ gmail POINT com (jabber) | Developpeur et admin du site ubuntu-fr |  <|> ubuntu-fr
25 Espace(s) en fin de ligne à supprimer. [[179:180]] => | Christophe Sauthier (huats) | christophe POINT sauthier CHEZ gmail POINT com | christophe POINT sauthier CHEZ gmail POINT com (jabber) | Developpeur et admin du site ubuntu-fr |  <|>   => suggestions : ['']

26 Mot inconnu : didrocks [[16:24]] => | Didier Roche (didrocks) | didrocks CHEZ ubuntu-fr POINT org | IRC (freenode) | Admin du site ubuntu-fr | <|> didrocks
26 Mot inconnu : didrocks [[28:36]] => | Didier Roche (didrocks) | didrocks CHEZ ubuntu-fr POINT org | IRC (freenode) | Admin du site ubuntu-fr | <|> didrocks
26 Mot inconnu : ubuntu-fr [[42:51]] => | Didier Roche (didrocks) | didrocks CHEZ ubuntu-fr POINT org | IRC (freenode) | Admin du site ubuntu-fr | <|> ubuntu-fr
26 Mot inconnu : IRC [[64:67]] => | Didier Roche (didrocks) | didrocks CHEZ ubuntu-fr POINT org | IRC (freenode) | Admin du site ubuntu-fr | <|> irc
26 Mot inconnu : freenode [[69:77]] => | Didier Roche (didrocks) | didrocks CHEZ ubuntu-fr POINT org | IRC (freenode) | Admin du site ubuntu-fr | <|> freenode
26 Mot inconnu : ubuntu-fr [[95:104]] => | Didier Roche (didrocks) | didrocks CHEZ ubuntu-fr POINT org | IRC (freenode) | Admin du site ubuntu-fr | <|> ubuntu-fr

27 Mot inconnu : Sam7 [[18:22]] => | Sylvain MICHEL (Sam7) | sam7.ubuntu CHEZ gmail POINT com  | IRC (freenode) | ni admin, ni développeur... | <|> sam7
