1 Mot inconnu : firefox => ====== installation et configuration avancée de firefox ====== | firefox

2 Mot inconnu : FIXME => FIXME : Ce brouillon n'est plus à jour. J'ai pris le relais, mon brouillon est ici : http://doc.ubuntu-fr.org/utilisateurs/felixp/brouillon_firefox \\ | fixme

3 Confusion : “à” est une préposition. Pour le verbe avoir, écrivez “a”. => cette page à été crée dans le but de désengorgé la page officiel de firefox , si vous cherchiez la page de firefox nous vous invitons à suivre ce lien . | à => suggestions : ['a']
3 Le verbe devrait être à l’infinitif. => cette page à été crée dans le but de désengorgé la page officiel de firefox , si vous cherchiez la page de firefox nous vous invitons à suivre ce lien . | désengorgé => suggestions : ['désengorger']
3 Accord de genre erroné : « la page » est féminin, « officiel » est masculin. => cette page à été crée dans le but de désengorgé la page officiel de firefox , si vous cherchiez la page de firefox nous vous invitons à suivre ce lien . | officiel => suggestions : ['officielle']
3 Mot inconnu : firefox => cette page à été crée dans le but de désengorgé la page officiel de firefox , si vous cherchiez la page de firefox nous vous invitons à suivre ce lien . | firefox
3 Pas d’espace avant une virgule. => cette page à été crée dans le but de désengorgé la page officiel de firefox , si vous cherchiez la page de firefox nous vous invitons à suivre ce lien . |  , => suggestions : [',']
3 Mot inconnu : firefox => cette page à été crée dans le but de désengorgé la page officiel de firefox , si vous cherchiez la page de firefox nous vous invitons à suivre ce lien . | firefox

5 Mot inconnu : canonical => =====Installation de versions non supportées par canonical===== | canonical

7 Accord de nombre erroné : « programmes » devrait être au singulier. => <note warning>Les méthodes suivantes permettent d'avoir des versions du programmes plus récentes (stables et non stables), sachez néanmoins que ces versions ne sont pas maintenues par les développeurs d'Ubuntu et qu'ils ne peuvent donc en assurer le support.</note> | programmes => suggestions : ['programmé', 'programme']

19 Mot inconnu : Ubuntuzilla => ==== Installation via Ubuntuzilla ==== | ubuntuzilla

21 Mot inconnu : Ubuntuzilla => Ubuntuzilla permet de faire une installation similaire à la méthode manuelle ci-dessous mais de façon automatique [[http://sourceforge.net/apps/mediawiki/ubuntuzilla/index.php?title=Main_Page#Installation|Instructions ici[en] ]]. | ubuntuzilla
21 Pas d’espace avant ce signe. => Ubuntuzilla permet de faire une installation similaire à la méthode manuelle ci-dessous mais de façon automatique [[http://sourceforge.net/apps/mediawiki/ubuntuzilla/index.php?title=Main_Page#Installation|Instructions ici[en] ]]. |  ] => suggestions : [']']

55 Mot inconnu : ubuntuzilla => Deux versions de Firefox peuvent être installées en même temps dans votre ordinateur. D'ailleurs, les procédures manuelles, ubuntuzilla et les versions de développement ne remplacent pas la version de Firefox déjà installée : elles installent une seconde version de Firefox sous un autre nom de programme. Il n'est pas recommandé de désinstaller la version de Firefox fournie par défaut avec Ubuntu, car certains logiciels pourraient ne pas fonctionner correctement. | ubuntuzilla

