1 Mot inconnu : ZwookMachine => ====== ZwookMachine ====== | zwookmachine

6 Mot inconnu : ZwookMachine => La ZwookMachine est un serveur LAMPPPZZ : | zwookmachine
6 Mot inconnu : LAMPPPZZ => La ZwookMachine est un serveur LAMPPPZZ : | lampppzz

7 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **L**inux (ici Ubuntu) |    => suggestions : ['']
7 Mot inconnu : inux =>   * **L**inux (ici Ubuntu) | inux

8 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **A**pache (serveur HTTP et HTTPS) |    => suggestions : ['']
8 Mot inconnu : pache =>   * **A**pache (serveur HTTP et HTTPS) | pache

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **M**ySQL (serveur de bases de données de type SQL) |    => suggestions : ['']
9 Mot inconnu : ySQL =>   * **M**ySQL (serveur de bases de données de type SQL) | ysql

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **P**HP |    => suggestions : ['']
10 Mot inconnu : HP =>   * **P**HP | hp

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **P**erl |    => suggestions : ['']
11 Mot inconnu : erl =>   * **P**erl | erl

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **P**ython |    => suggestions : ['']
12 Mot inconnu : ython =>   * **P**ython | ython

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Z**ope (le serveur d'applications sécurisé) |    => suggestions : ['']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Z**wook (un CMS fonctionnant sous Zope) |    => suggestions : ['']
14 Mot inconnu : wook =>   * **Z**wook (un CMS fonctionnant sous Zope) | wook
14 Mot inconnu : CMS =>   * **Z**wook (un CMS fonctionnant sous Zope) | cms
14 Mot inconnu : Zope =>   * **Z**wook (un CMS fonctionnant sous Zope) | zope

16 Mot inconnu : LiveDVD => Le but de cette page est de créer un LiveDVD installable. | livedvd

18 Mot inconnu : ZwookMachine => Contrairement aux serveurs traditionnels, qui ne comprennent aucune interface graphique, la ZwookMachine proposera Gnome, et ce pour deux raisons :  | zwookmachine
18 Espace(s) en fin de ligne à supprimer. => Contrairement aux serveurs traditionnels, qui ne comprennent aucune interface graphique, la ZwookMachine proposera Gnome, et ce pour deux raisons :  |   => suggestions : ['']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Une interface graphique est nécessaire pour créer un LiveDVD |    => suggestions : ['']
19 Mot inconnu : LiveDVD =>   * Une interface graphique est nécessaire pour créer un LiveDVD | livedvd

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le but est de créer un serveur facilement installable et paramétrable par un newbie |    => suggestions : ['']
20 Mot inconnu : newbie =>   * Le but est de créer un serveur facilement installable et paramétrable par un newbie | newbie

25 Mot inconnu : LTS => Pour un serveur, il est habituellement conseillé d'utiliser une [[/versions|version]] LTS  (//Long Term Support//) d'Ubuntu. La dernière LTS en date est Lucid Lynx, ou 10.04, sortie fin Avril 2010. | lts
25 Espace(s) surnuméraire(s) à supprimer. => Pour un serveur, il est habituellement conseillé d'utiliser une [[/versions|version]] LTS  (//Long Term Support//) d'Ubuntu. La dernière LTS en date est Lucid Lynx, ou 10.04, sortie fin Avril 2010. |    => suggestions : [' ']
25 Mot inconnu : Term => Pour un serveur, il est habituellement conseillé d'utiliser une [[/versions|version]] LTS  (//Long Term Support//) d'Ubuntu. La dernière LTS en date est Lucid Lynx, ou 10.04, sortie fin Avril 2010. | term
25 Mot inconnu : LTS => Pour un serveur, il est habituellement conseillé d'utiliser une [[/versions|version]] LTS  (//Long Term Support//) d'Ubuntu. La dernière LTS en date est Lucid Lynx, ou 10.04, sortie fin Avril 2010. | lts
25 Mot inconnu : Lucid => Pour un serveur, il est habituellement conseillé d'utiliser une [[/versions|version]] LTS  (//Long Term Support//) d'Ubuntu. La dernière LTS en date est Lucid Lynx, ou 10.04, sortie fin Avril 2010. | lucid
25 Pas de majuscule sur les mois. => Pour un serveur, il est habituellement conseillé d'utiliser une [[/versions|version]] LTS  (//Long Term Support//) d'Ubuntu. La dernière LTS en date est Lucid Lynx, ou 10.04, sortie fin Avril 2010. | avril => suggestions : ['avril']

