1 Mot inconnu : Pronote => ====== Client Pronote avec Wine ====== | pronote
1 Mot inconnu : Wine => ====== Client Pronote avec Wine ====== | wine

4 Mot inconnu : Pronote => <note>Marre de galérer chaque fois avec ce CHER (!) client Pronote sous Zindoze qu'il me faut absolument installer. Ceci est un petit mémo de la marche à suivre.</note> | pronote
4 Mot inconnu : Zindoze => <note>Marre de galérer chaque fois avec ce CHER (!) client Pronote sous Zindoze qu'il me faut absolument installer. Ceci est un petit mémo de la marche à suivre.</note> | zindoze
8 Mot inconnu : wine => On a besoin des paquets **[[apt>wine]]**,  wine-gecko*, wine-mono* et **[[apt>winetricks]]**.  | wine
8 Espace(s) surnuméraire(s) à supprimer. => On a besoin des paquets **[[apt>wine]]**,  wine-gecko*, wine-mono* et **[[apt>winetricks]]**.  |    => suggestions : [' ']
8 Mot inconnu : wine-gecko => On a besoin des paquets **[[apt>wine]]**,  wine-gecko*, wine-mono* et **[[apt>winetricks]]**.  | wine-gecko
8 Mot inconnu : wine-mono => On a besoin des paquets **[[apt>wine]]**,  wine-gecko*, wine-mono* et **[[apt>winetricks]]**.  | wine-mono
8 Mot inconnu : winetricks => On a besoin des paquets **[[apt>wine]]**,  wine-gecko*, wine-mono* et **[[apt>winetricks]]**.  | winetricks
8 Espace(s) en fin de ligne à supprimer. => On a besoin des paquets **[[apt>wine]]**,  wine-gecko*, wine-mono* et **[[apt>winetricks]]**.  |   => suggestions : ['']

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo apt-get install wine wine-gecko* wine-mono* winetricks |    => suggestions : ['']
9 Mot inconnu : sudo =>   sudo apt-get install wine wine-gecko* wine-mono* winetricks | sudo
9 Mot inconnu : apt-get =>   sudo apt-get install wine wine-gecko* wine-mono* winetricks | apt-get
9 Mot inconnu : install =>   sudo apt-get install wine wine-gecko* wine-mono* winetricks | install
9 Mot inconnu : wine =>   sudo apt-get install wine wine-gecko* wine-mono* winetricks | wine
9 Mot inconnu : wine-gecko =>   sudo apt-get install wine wine-gecko* wine-mono* winetricks | wine-gecko
9 Mot inconnu : wine-mono =>   sudo apt-get install wine wine-gecko* wine-mono* winetricks | wine-mono
9 Mot inconnu : winetricks =>   sudo apt-get install wine wine-gecko* wine-mono* winetricks | winetricks
11 Mot inconnu : playonlinux => Peut-être même de **[[apt>playonlinux]]** (je l'ai installé pendant mes essais, je ne sais pas si cela a été utile). | playonlinux

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo apt-get install playonlinux |    => suggestions : ['']
12 Mot inconnu : sudo =>   sudo apt-get install playonlinux | sudo
12 Mot inconnu : apt-get =>   sudo apt-get install playonlinux | apt-get
12 Mot inconnu : install =>   sudo apt-get install playonlinux | install
12 Mot inconnu : playonlinux =>   sudo apt-get install playonlinux | playonlinux

14 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => ===== Destruction du dossier .wine éventuel ===== |  . => suggestions : ['. ', '.']
14 Mot inconnu : wine => ===== Destruction du dossier .wine éventuel ===== | wine

16 Mot inconnu : Wine => Je n'utilise Wine que pour Pronote, alors... | wine
16 Mot inconnu : Pronote => Je n'utilise Wine que pour Pronote, alors... | pronote
16 Typographie : points de suspension. Utilisez le caractère dédié. => Je n'utilise Wine que pour Pronote, alors... | ... => suggestions : ['…']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   rm -rf $HOME/.wine |    => suggestions : ['']
17 Mot inconnu : rm =>   rm -rf $HOME/.wine | rm
17 Il manque un espace à côté du tiret. =>   rm -rf $HOME/.wine |  - => suggestions : [' – ', ' — ']
17 Mot inconnu : rf =>   rm -rf $HOME/.wine | rf
17 Mot inconnu : wine =>   rm -rf $HOME/.wine | wine

19 Mot inconnu : winecfg => ===== Variables d'environnement et winecfg ===== | winecfg

21 Mot inconnu : Wine => Si l'architecture de l'ordi est en 64 bits, il faut simuler un fonctionnement de Wine en 32 bits : | wine

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   export WINEARCH=win32 |    => suggestions : ['']
22 Mot inconnu : WINEARCH =>   export WINEARCH=win32 | winearch
22 Mot inconnu : win32 =>   export WINEARCH=win32 | win32

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   export WINEPREFIX=$HOME/.wine |    => suggestions : ['']
23 Mot inconnu : WINEPREFIX =>   export WINEPREFIX=$HOME/.wine | wineprefix
23 Mot inconnu : wine =>   export WINEPREFIX=$HOME/.wine | wine

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   winecfg |    => suggestions : ['']
24 Mot inconnu : winecfg =>   winecfg | winecfg

26 Mot inconnu : wine => Le nouveau dossier ~/.wine tout propre est créé. | wine

28 Mot inconnu : winetricks => ===== winetricks ===== | winetricks

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   winetricks |    => suggestions : ['']
30 Mot inconnu : winetricks =>   winetricks | winetricks

32 Mot inconnu : winecfg => Valider le choix de winecfg, puis installer  | winecfg
32 Espace(s) en fin de ligne à supprimer. => Valider le choix de winecfg, puis installer  |   => suggestions : ['']

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * les dll : msxml6, windowscodecs et msls31 |    => suggestions : ['']
33 Mot inconnu : dll =>   * les dll : msxml6, windowscodecs et msls31 | dll
33 Mot inconnu : msxml6 =>   * les dll : msxml6, windowscodecs et msls31 | msxml6
33 Mot inconnu : windowscodecs =>   * les dll : msxml6, windowscodecs et msls31 | windowscodecs
33 Mot inconnu : msls31 =>   * les dll : msxml6, windowscodecs et msls31 | msls31

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ie8 |    => suggestions : ['']
34 Mot inconnu : ie8 =>   * ie8 | ie8

36 Mot inconnu : Pronote => ===== Enfin installation du client Pronote ===== | pronote

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   wine chemin_vers_l_installateur_de_pronote.exe |    => suggestions : ['']
38 Mot inconnu : wine =>   wine chemin_vers_l_installateur_de_pronote.exe | wine
38 Mot inconnu : chemin_vers_l_installateur_de_pronote =>   wine chemin_vers_l_installateur_de_pronote.exe | chemin_vers_l_installateur_de_pronote
38 Mot inconnu : exe =>   wine chemin_vers_l_installateur_de_pronote.exe | exe

40 Mot inconnu : Enjoy => Enjoy ! (Enfin... Faut pas exagérer non plus !) | enjoy
