1 Mot inconnu : Maverick => ====== Migration de Maverick vers Precise ====== | maverick
1 Mot inconnu : Precise => ====== Migration de Maverick vers Precise ====== | precise

3 Mot inconnu : Maverick => Je relate ici mon aventure de migration de Maverick (Ubuntu 10.10) vers Precise (12.04.1). En espérant que cela pourra aider quelqu'un... | maverick
3 Mot inconnu : Precise => Je relate ici mon aventure de migration de Maverick (Ubuntu 10.10) vers Precise (12.04.1). En espérant que cela pourra aider quelqu'un... | precise
3 Typographie : points de suspension. Utilisez le caractère dédié. => Je relate ici mon aventure de migration de Maverick (Ubuntu 10.10) vers Precise (12.04.1). En espérant que cela pourra aider quelqu'un... | ... => suggestions : ['…']

7 Mot inconnu : BitTorrent => Sur [[http://www.ubuntu.com/download/desktop/alternative-downloads]] j'ai téléchargé par BitTorrent (c'est plus rapide !) la version 12.04.1 Alternate d'Ubuntu pour mon portable 32bits (i386). | bittorrent
7 Mot inconnu : Alternate => Sur [[http://www.ubuntu.com/download/desktop/alternative-downloads]] j'ai téléchargé par BitTorrent (c'est plus rapide !) la version 12.04.1 Alternate d'Ubuntu pour mon portable 32bits (i386). | alternate
7 Mot inconnu : i386 => Sur [[http://www.ubuntu.com/download/desktop/alternative-downloads]] j'ai téléchargé par BitTorrent (c'est plus rapide !) la version 12.04.1 Alternate d'Ubuntu pour mon portable 32bits (i386). | i386

9 Mot inconnu : iso => ===== Transfert de l'image iso sur clé USB ===== | iso

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo fdisk -l |    => suggestions : ['']
15 Mot inconnu : sudo =>   sudo fdisk -l | sudo
15 Mot inconnu : fdisk =>   sudo fdisk -l | fdisk
15 Il manque un espace à côté du tiret. =>   sudo fdisk -l |  - => suggestions : [' – ', ' — ']

26 Espace(s) surnuméraire(s) à supprimer. => /dev/sdd1   *          64     1407575      703756   17  HPFS/NTFS masquée</code> |     => suggestions : [' ']
26 Espace(s) surnuméraire(s) à supprimer. => /dev/sdd1   *          64     1407575      703756   17  HPFS/NTFS masquée</code> |       => suggestions : [' ']
26 Formatage des grands nombres. => /dev/sdd1   *          64     1407575      703756   17  HPFS/NTFS masquée</code> | 1407575 => suggestions : ['1\xa0407\xa0575']
26 Espace(s) surnuméraire(s) à supprimer. => /dev/sdd1   *          64     1407575      703756   17  HPFS/NTFS masquée</code> |        => suggestions : [' ']
26 Formatage des grands nombres. => /dev/sdd1   *          64     1407575      703756   17  HPFS/NTFS masquée</code> | 703756 => suggestions : ['703\xa0756']
26 Espace(s) surnuméraire(s) à supprimer. => /dev/sdd1   *          64     1407575      703756   17  HPFS/NTFS masquée</code> |     => suggestions : [' ']
26 Espace(s) surnuméraire(s) à supprimer. => /dev/sdd1   *          64     1407575      703756   17  HPFS/NTFS masquée</code> |    => suggestions : [' ']
26 Mot inconnu : HPFS => /dev/sdd1   *          64     1407575      703756   17  HPFS/NTFS masquée</code> | hpfs
26 Mot inconnu : NTFS => /dev/sdd1   *          64     1407575      703756   17  HPFS/NTFS masquée</code> | ntfs

30 Mot inconnu : iso => Se placer dans le dossier qui contient l'image iso que l'on vient de télécharger :  | iso
30 Espace(s) en fin de ligne à supprimer. => Se placer dans le dossier qui contient l'image iso que l'on vient de télécharger :  |   => suggestions : ['']

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd ~/Téléchargements |    => suggestions : ['']

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ls -t | head -1 |    => suggestions : ['']
32 Mot inconnu : ls =>   ls -t | head -1 | ls
32 Mot inconnu : head =>   ls -t | head -1 | head
32 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. =>   ls -t | head -1 | -1 => suggestions : ['−1', '– 1', '— 1']

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ubuntu-12.04.1-alternate-i386.iso |    => suggestions : ['']
34 Mot inconnu : ubuntu-12 =>   ubuntu-12.04.1-alternate-i386.iso | ubuntu-12
34 Mot inconnu : alternate-i386 =>   ubuntu-12.04.1-alternate-i386.iso | alternate-i386
34 Mot inconnu : iso =>   ubuntu-12.04.1-alternate-i386.iso | iso

