1 Mot inconnu : LDAP => == LDAP Schema for Active Directory == | ldap
1 Mot inconnu : Schema => == LDAP Schema for Active Directory == | schema
1 Mot inconnu : Directory => == LDAP Schema for Active Directory == | directory

2 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://translations.launchpad.net/ddtp-ubuntu/wily/+pots/ddtp-ubuntu-universe/fr/13063/+translate |    => suggestions : ['']

3 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://translations.launchpad.net/ddtp-ubuntu/wily/+pots/ddtp-ubuntu-universe/fr/12906/+translate |    => suggestions : ['']

4 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://translations.launchpad.net/ddtp-ubuntu/wily/+pots/ddtp-ubuntu-universe/fr/12910/+translate |    => suggestions : ['']

5 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://translations.launchpad.net/ddtp-ubuntu/wily/+pots/ddtp-ubuntu-universe/fr/12914/+translate |    => suggestions : ['']

6 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://translations.launchpad.net/ddtp-ubuntu/wily/+pots/ddtp-ubuntu-universe/fr/12918/+translate |    => suggestions : ['']

7 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://translations.launchpad.net/ddtp-ubuntu/wily/+pots/ddtp-ubuntu-universe/fr/12922/+translate |    => suggestions : ['']

8 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://translations.launchpad.net/ddtp-ubuntu/wily/+pots/ddtp-ubuntu-universe/fr/12930/+translate |    => suggestions : ['']

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://translations.launchpad.net/ddtp-ubuntu/wily/+pots/ddtp-ubuntu-universe/fr/12926/+translate |    => suggestions : ['']

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://translations.launchpad.net/ddtp-ubuntu/wily/+pots/ddtp-ubuntu-universe/fr/12936/+translate |    => suggestions : ['']

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://translations.launchpad.net/ddtp-ubuntu/wily/+pots/ddtp-ubuntu-universe/fr/12940/+translate |    => suggestions : ['']

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://translations.launchpad.net/ddtp-ubuntu/wily/+pots/ddtp-ubuntu-universe/fr/12945/+translate |    => suggestions : ['']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://translations.launchpad.net/ddtp-ubuntu/wily/+pots/ddtp-ubuntu-universe/fr/12948/+translate |    => suggestions : ['']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://translations.launchpad.net/ddtp-ubuntu/wily/+pots/ddtp-ubuntu-universe/fr/12952/+translate |    => suggestions : ['']

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://translations.launchpad.net/ddtp-ubuntu/wily/+pots/ddtp-ubuntu-universe/fr/12956/+translate |    => suggestions : ['']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://translations.launchpad.net/ddtp-ubuntu/wily/+pots/ddtp-ubuntu-universe/fr/12959/+translate |    => suggestions : ['']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://translations.launchpad.net/ddtp-ubuntu/wily/+pots/ddtp-ubuntu-universe/fr/12963/+translate |    => suggestions : ['']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://translations.launchpad.net/ddtp-ubuntu/wily/+pots/ddtp-ubuntu-universe/fr/12967/+translate |    => suggestions : ['']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://translations.launchpad.net/ddtp-ubuntu/wily/+pots/ddtp-ubuntu-universe/fr/12971/+translate |    => suggestions : ['']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://translations.launchpad.net/ddtp-ubuntu/wily/+pots/ddtp-ubuntu-universe/fr/12977/+translate |    => suggestions : ['']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://translations.launchpad.net/ddtp-ubuntu/wily/+pots/ddtp-ubuntu-universe/fr/12981/+translate |    => suggestions : ['']

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://translations.launchpad.net/ddtp-ubuntu/wily/+pots/ddtp-ubuntu-universe/fr/12984/+translate |    => suggestions : ['']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://translations.launchpad.net/ddtp-ubuntu/wily/+pots/ddtp-ubuntu-universe/fr/12990/+translate |    => suggestions : ['']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://translations.launchpad.net/ddtp-ubuntu/wily/+pots/ddtp-ubuntu-universe/fr/12993/+translate |    => suggestions : ['']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://translations.launchpad.net/ddtp-ubuntu/wily/+pots/ddtp-ubuntu-universe/fr/12997/+translate |    => suggestions : ['']

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://translations.launchpad.net/ddtp-ubuntu/wily/+pots/ddtp-ubuntu-universe/fr/13001/+translate |    => suggestions : ['']

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://translations.launchpad.net/ddtp-ubuntu/wily/+pots/ddtp-ubuntu-universe/fr/13005/+translate |    => suggestions : ['']

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://translations.launchpad.net/ddtp-ubuntu/wily/+pots/ddtp-ubuntu-universe/fr/13009/+translate |    => suggestions : ['']

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://translations.launchpad.net/ddtp-ubuntu/wily/+pots/ddtp-ubuntu-universe/fr/13014/+translate |    => suggestions : ['']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://translations.launchpad.net/ddtp-ubuntu/wily/+pots/ddtp-ubuntu-universe/fr/13018/+translate |    => suggestions : ['']

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://translations.launchpad.net/ddtp-ubuntu/wily/+pots/ddtp-ubuntu-universe/fr/13022/+translate |    => suggestions : ['']

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://translations.launchpad.net/ddtp-ubuntu/wily/+pots/ddtp-ubuntu-universe/fr/13027/+translate |    => suggestions : ['']

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://translations.launchpad.net/ddtp-ubuntu/wily/+pots/ddtp-ubuntu-universe/fr/13031/+translate |    => suggestions : ['']

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://translations.launchpad.net/ddtp-ubuntu/wily/+pots/ddtp-ubuntu-universe/fr/13035/+translate |    => suggestions : ['']

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://translations.launchpad.net/ddtp-ubuntu/wily/+pots/ddtp-ubuntu-universe/fr/13038/+translate |    => suggestions : ['']

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://translations.launchpad.net/ddtp-ubuntu/wily/+pots/ddtp-ubuntu-universe/fr/13041/+translate |    => suggestions : ['']

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://translations.launchpad.net/ddtp-ubuntu/wily/+pots/ddtp-ubuntu-universe/fr/13045/+translate |    => suggestions : ['']

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://translations.launchpad.net/ddtp-ubuntu/wily/+pots/ddtp-ubuntu-universe/fr/13049/+translate |    => suggestions : ['']

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://translations.launchpad.net/ddtp-ubuntu/wily/+pots/ddtp-ubuntu-universe/fr/13052/+translate |    => suggestions : ['']

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://translations.launchpad.net/ddtp-ubuntu/wily/+pots/ddtp-ubuntu-universe/fr/13057/+translate |    => suggestions : ['']
