6 Mot inconnu : freenode [[16:24]] =>   * canal irc : freenode/#ubuntu-fr-devweb <|> freenode
9 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. [[4:7]] =>   * luK est à peu près seul pour les mockups. Bien qu'il ait proposé régulièrement de nouvelles versions, le projet stagne un peu actuellement : la doc est peu avancée, aucune déclinaison pour le planet. Il y a peu de critiques sur les dernières versions de la doc (autres que "vachement bô") <|> luk => suggestions : Luk
9 Mot inconnu : luK [[4:7]] =>   * luK est à peu près seul pour les mockups. Bien qu'il ait proposé régulièrement de nouvelles versions, le projet stagne un peu actuellement : la doc est peu avancée, aucune déclinaison pour le planet. Il y a peu de critiques sur les dernières versions de la doc (autres que "vachement bô") <|> luk
9 Mot inconnu : mockups [[37:44]] =>   * luK est à peu près seul pour les mockups. Bien qu'il ait proposé régulièrement de nouvelles versions, le projet stagne un peu actuellement : la doc est peu avancée, aucune déclinaison pour le planet. Il y a peu de critiques sur les dernières versions de la doc (autres que "vachement bô") <|> mockups
9 Mot inconnu : planet [[196:202]] =>   * luK est à peu près seul pour les mockups. Bien qu'il ait proposé régulièrement de nouvelles versions, le projet stagne un peu actuellement : la doc est peu avancée, aucune déclinaison pour le planet. Il y a peu de critiques sur les dernières versions de la doc (autres que "vachement bô") <|> planet
9 Guillemets typographiques ouvrants. [[277:278]] =>   * luK est à peu près seul pour les mockups. Bien qu'il ait proposé régulièrement de nouvelles versions, le projet stagne un peu actuellement : la doc est peu avancée, aucune déclinaison pour le planet. Il y a peu de critiques sur les dernières versions de la doc (autres que "vachement bô") <|> " => suggestions : « “
9 Mot inconnu : bô [[288:290]] =>   * luK est à peu près seul pour les mockups. Bien qu'il ait proposé régulièrement de nouvelles versions, le projet stagne un peu actuellement : la doc est peu avancée, aucune déclinaison pour le planet. Il y a peu de critiques sur les dernières versions de la doc (autres que "vachement bô") <|> bô
9 Guillemets typographiques fermants. [[290:291]] =>   * luK est à peu près seul pour les mockups. Bien qu'il ait proposé régulièrement de nouvelles versions, le projet stagne un peu actuellement : la doc est peu avancée, aucune déclinaison pour le planet. Il y a peu de critiques sur les dernières versions de la doc (autres que "vachement bô") <|> " => suggestions :  »”
10 Mot inconnu : Smon [[4:8]] =>   * Smon nous a rejoint (et on espère qu'il va rester :) ) et a proposé récemment une nouvelle version de la page d'accueil (http://doc.ubuntu-fr.org/_detail/projets/smon_mockup.png?id=projets%3Adesign2009&cache=cache) <|> smon
10 Pas d’espace avant ce signe. [[56:58]] =>   * Smon nous a rejoint (et on espère qu'il va rester :) ) et a proposé récemment une nouvelle version de la page d'accueil (http://doc.ubuntu-fr.org/_detail/projets/smon_mockup.png?id=projets%3Adesign2009&cache=cache) <|>  ) => suggestions : )
11 Accord de genre erroné : « ML » est masculin. [[22:24]] =>   * Message passé sur la ML du Planet : Pas de retour  <|> la => suggestions : le
11 Mot inconnu : Planet [[31:37]] =>   * Message passé sur la ML du Planet : Pas de retour  <|> planet
11 Espace(s) en fin de ligne à supprimer. [[53:54]] =>   * Message passé sur la ML du Planet : Pas de retour  <|>  
12 Accord de genre erroné : « ML » est masculin. [[22:24]] =>   * Message passé sur la ML de la doc : Une demande assez générale : Faire ressortir le champ de recherche (voir la dernière proposition de luK) <|> la => suggestions : le
12 Mot inconnu : luK [[140:143]] =>   * Message passé sur la ML de la doc : Une demande assez générale : Faire ressortir le champ de recherche (voir la dernière proposition de luK) <|> luk
17 Mot inconnu : suivi-ubuntu-fr [[16:31]] =>   * message sur suivi-ubuntu-fr pour recherche de nouveaux graphistes : risque de faire venir pas mal de critiques et qu'on n'avance pas => On attend un peu <|> suivi-ubuntu-fr
18 Mot inconnu : mockup [[14:20]] =>   * Monter un mockup html : Smon s'y colle. Pour les Mockup, les sources de luK seront d'une grande aide, s'il veut bien nous les confier (luK es tu parmi nous ? ) <|> mockup
18 Mot inconnu : Smon [[28:32]] =>   * Monter un mockup html : Smon s'y colle. Pour les Mockup, les sources de luK seront d'une grande aide, s'il veut bien nous les confier (luK es tu parmi nous ? ) <|> smon
18 Mot inconnu : Mockup [[53:59]] =>   * Monter un mockup html : Smon s'y colle. Pour les Mockup, les sources de luK seront d'une grande aide, s'il veut bien nous les confier (luK es tu parmi nous ? ) <|> mockup
18 Mot inconnu : luK [[76:79]] =>   * Monter un mockup html : Smon s'y colle. Pour les Mockup, les sources de luK seront d'une grande aide, s'il veut bien nous les confier (luK es tu parmi nous ? ) <|> luk
18 Mot inconnu : luK [[139:142]] =>   * Monter un mockup html : Smon s'y colle. Pour les Mockup, les sources de luK seront d'une grande aide, s'il veut bien nous les confier (luK es tu parmi nous ? ) <|> luk
18 Forme interrogative ? Mettez un trait d’union. [[143:148]] =>   * Monter un mockup html : Smon s'y colle. Pour les Mockup, les sources de luK seront d'une grande aide, s'il veut bien nous les confier (luK es tu parmi nous ? ) <|> es tu => suggestions : es-tu
