
10 Mot inconnu : Dapper => Pour partager son imprimante sur un PC Ubuntu Dapper il faut: | dapper

12 Il manque un espace à côté du tiret. => 1- Dans le fichier /etc/cups/cupsd.conf, rajouter la ligne | -  => suggestions : [' – ', ' — ']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Allow 192.168.1.xxx  (où xxx = ip du pc client) dans la partie <Location /> ), afin d'obtenir quelque chose comme cela: |   => suggestions : ['']
13 Mot inconnu : Allow =>  Allow 192.168.1.xxx  (où xxx = ip du pc client) dans la partie <Location /> ), afin d'obtenir quelque chose comme cela: | allow
13 Grands nombres : utilisez des espaces insécables plutôt que des points. =>  Allow 192.168.1.xxx  (où xxx = ip du pc client) dans la partie <Location /> ), afin d'obtenir quelque chose comme cela: | 192.168 => suggestions : ['192\xa0168']
13 Espace(s) surnuméraire(s) à supprimer. =>  Allow 192.168.1.xxx  (où xxx = ip du pc client) dans la partie <Location /> ), afin d'obtenir quelque chose comme cela: |    => suggestions : [' ']
13 Mot inconnu : xxx =>  Allow 192.168.1.xxx  (où xxx = ip du pc client) dans la partie <Location /> ), afin d'obtenir quelque chose comme cela: | xxx
13 Mot inconnu : ip =>  Allow 192.168.1.xxx  (où xxx = ip du pc client) dans la partie <Location /> ), afin d'obtenir quelque chose comme cela: | ip
13 Pas d’espace avant ce signe. =>  Allow 192.168.1.xxx  (où xxx = ip du pc client) dans la partie <Location /> ), afin d'obtenir quelque chose comme cela: |  ) => suggestions : [')']

15 Mot inconnu : Restrict => # Restrict access to the server... | restrict
15 Mot inconnu : access => # Restrict access to the server... | access
15 Mot inconnu : to => # Restrict access to the server... | to
15 Mot inconnu : the => # Restrict access to the server... | the
15 Mot inconnu : server => # Restrict access to the server... | server
15 Typographie : points de suspension. Utilisez le caractère dédié. => # Restrict access to the server... | ... => suggestions : ['…']

18 Mot inconnu : Order => Order allow,deny | order
18 Mot inconnu : allow => Order allow,deny | allow
18 Il manque un espace. => Order allow,deny | deny => suggestions : [' deny']
18 Mot inconnu : deny => Order allow,deny | deny

20 Mot inconnu : Allow => Allow localhost | allow
20 Mot inconnu : localhost => Allow localhost | localhost

22 Mot inconnu : Allow => Allow 192.168.1.xxx | allow
22 Grands nombres : utilisez des espaces insécables plutôt que des points. => Allow 192.168.1.xxx | 192.168 => suggestions : ['192\xa0168']

26 Il faut élider “si” et l’accoler au pronom. => Si il y a d'autres clients rajouter leurs adresses de la même façon, ou utiliser l'adresse de tout le réseau 192.168.1.* | si  => suggestions : ['S’']
26 Grands nombres : utilisez des espaces insécables plutôt que des points. => Si il y a d'autres clients rajouter leurs adresses de la même façon, ou utiliser l'adresse de tout le réseau 192.168.1.* | 192.168 => suggestions : ['192\xa0168']

28 Il manque un espace à côté du tiret. => 2- Dans le fichier /etc/cups/cups.d/ports.conf, commenter la ligne Listen localhost:631 et rajouter une ligne contenant Port 631.  | -  => suggestions : [' – ', ' — ']
28 Mot inconnu : Listen => 2- Dans le fichier /etc/cups/cups.d/ports.conf, commenter la ligne Listen localhost:631 et rajouter une ligne contenant Port 631.  | listen
28 Mot inconnu : localhost => 2- Dans le fichier /etc/cups/cups.d/ports.conf, commenter la ligne Listen localhost:631 et rajouter une ligne contenant Port 631.  | localhost
28 Il manque un espace. => 2- Dans le fichier /etc/cups/cups.d/ports.conf, commenter la ligne Listen localhost:631 et rajouter une ligne contenant Port 631.  | 631 => suggestions : [' 631']
28 Espace(s) en fin de ligne à supprimer. => 2- Dans le fichier /etc/cups/cups.d/ports.conf, commenter la ligne Listen localhost:631 et rajouter une ligne contenant Port 631.  |   => suggestions : ['']

30 Mot inconnu : localhost => #Listen localhost:631 | localhost
30 Il manque un espace. => #Listen localhost:631 | 631 => suggestions : [' 631']

34 Mot inconnu : Edgy => (Pour Edgy, cette section se trouve dans le fichier cupsd.conf et non dans ports.conf) | edgy
34 Mot inconnu : cupsd => (Pour Edgy, cette section se trouve dans le fichier cupsd.conf et non dans ports.conf) | cupsd
34 Il manque un espace. => (Pour Edgy, cette section se trouve dans le fichier cupsd.conf et non dans ports.conf) | conf => suggestions : [' conf']
34 Il manque un espace. => (Pour Edgy, cette section se trouve dans le fichier cupsd.conf et non dans ports.conf) | conf => suggestions : [' conf']

