
3 Mot inconnu : DJVU => ====== Comment éditer la table des matières d'un fichier DJVU ? ======
3 Il manque un espace insécable. => ====== Comment éditer la table des matières d'un fichier DJVU ? ======

5 Mot inconnu : DjvuSmooth => <note important>DjvuSmooth présente une interface grahique.  C'est la solution la plus simple.</note>
5 Mot inconnu : grahique => <note important>DjvuSmooth présente une interface grahique.  C'est la solution la plus simple.</note>
5 Espace(s) surnuméraire(s) à supprimer. => <note important>DjvuSmooth présente une interface grahique.  C'est la solution la plus simple.</note>

8 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Il faut [[:tutoriel:comment_installer_un_paquet|installer les paquets]] **[[apt>pdf2djvu,pdfmod|pdf2djvu et pdfmod]]** ([[#Solution 1: Conversion d'un fichier pdf|solution 1]]).
8 Il manque un espace. =>   * Il faut [[:tutoriel:comment_installer_un_paquet|installer les paquets]] **[[apt>pdf2djvu,pdfmod|pdf2djvu et pdfmod]]** ([[#Solution 1: Conversion d'un fichier pdf|solution 1]]).
8 Mot inconnu : pdf2djvu =>   * Il faut [[:tutoriel:comment_installer_un_paquet|installer les paquets]] **[[apt>pdf2djvu,pdfmod|pdf2djvu et pdfmod]]** ([[#Solution 1: Conversion d'un fichier pdf|solution 1]]).
8 Il manque un espace. =>   * Il faut [[:tutoriel:comment_installer_un_paquet|installer les paquets]] **[[apt>pdf2djvu,pdfmod|pdf2djvu et pdfmod]]** ([[#Solution 1: Conversion d'un fichier pdf|solution 1]]).
8 Mot inconnu : pdfmod =>   * Il faut [[:tutoriel:comment_installer_un_paquet|installer les paquets]] **[[apt>pdf2djvu,pdfmod|pdf2djvu et pdfmod]]** ([[#Solution 1: Conversion d'un fichier pdf|solution 1]]).
8 Mot inconnu : pdf2djvu =>   * Il faut [[:tutoriel:comment_installer_un_paquet|installer les paquets]] **[[apt>pdf2djvu,pdfmod|pdf2djvu et pdfmod]]** ([[#Solution 1: Conversion d'un fichier pdf|solution 1]]).
8 Mot inconnu : pdfmod =>   * Il faut [[:tutoriel:comment_installer_un_paquet|installer les paquets]] **[[apt>pdf2djvu,pdfmod|pdf2djvu et pdfmod]]** ([[#Solution 1: Conversion d'un fichier pdf|solution 1]]).
8 Il manque un espace insécable. =>   * Il faut [[:tutoriel:comment_installer_un_paquet|installer les paquets]] **[[apt>pdf2djvu,pdfmod|pdf2djvu et pdfmod]]** ([[#Solution 1: Conversion d'un fichier pdf|solution 1]]).

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Il faut [[:tutoriel:comment_installer_un_paquet|installer les paquets]] **[[apt>djvulibre-desktop]]** ([[#Solution 2: La commande djvused|solution 2]]).
9 Il manque un espace. =>   * Il faut [[:tutoriel:comment_installer_un_paquet|installer les paquets]] **[[apt>djvulibre-desktop]]** ([[#Solution 2: La commande djvused|solution 2]]).
9 Mot inconnu : djvulibre-desktop =>   * Il faut [[:tutoriel:comment_installer_un_paquet|installer les paquets]] **[[apt>djvulibre-desktop]]** ([[#Solution 2: La commande djvused|solution 2]]).
