
7 Mot inconnu : Intra [[10:15]] => === Liens Intra  === <|> intra
7 Espace(s) surnuméraire(s) à supprimer. [[15:17]] => === Liens Intra  === <|>    => suggestions :  

8 Euphonie. Il faut un “t” euphonique. [[14:19]] => Associés entre-elle: <|> -elle => suggestions : -t-elle
33 Mot inconnu : client_boot [[26:37]] => FIXME Reprendre celles de client_boot (cf plus bas) + client léger + edubuntu + LTSP (qui serait peut-être aussi à reprendre) + sûrement d'autres qui répète le principe (notamment page tuto) <|> client_boot
36 Mot inconnu : trâme [[21:26]] => FIXME J'ai repris la trâme de https://doc.ubuntu-fr.org/clientleger_boot <|> trâme

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  

49 Mot inconnu : __Source [[0:8]] => __Source :__ https://doc.ubuntu-fr.org/clientleger_boot <|> __source
49 Mot inconnu : __ [[10:12]] => __Source :__ https://doc.ubuntu-fr.org/clientleger_boot <|> __

60 Accord de genre erroné entre « instructions » et « appropriés ». [[226:236]] => Séquence de démarrage (d'un point de vue du client léger): la station cliente peut soit disposer d'un noyau sur un média de stockage local, soit le charger depuis le serveur au travers du réseau (en utilisant les instructions appropriés, il est possible de charger le noyau linux depuis un serveur au travers d'une carte réseau de démarrage. Ainsi, la station cliente n'a plus besoin de stocker quoi que ce soit, si ce n'est sur la mémoire vive de l'ordinateur.) <|> appropriés => suggestions : appropriées

76 Mot inconnu : __ [[0:2]] => __ Source : __ https://doc.ubuntu-fr.org/clientleger_station <|> __
76 Mot inconnu : __ [[12:14]] => __ Source : __ https://doc.ubuntu-fr.org/clientleger_station <|> __

82 Guillemets typographiques ouvrants. [[51:52]] => Nous donnerons quelques exemples de configurations "récup." ou "neuf" (mini PC spécialisé client léger). <|> " => suggestions : « “
82 Guillemets typographiques fermants. [[58:59]] => Nous donnerons quelques exemples de configurations "récup." ou "neuf" (mini PC spécialisé client léger). <|> " => suggestions :  »”
82 Guillemets typographiques ouvrants. [[63:64]] => Nous donnerons quelques exemples de configurations "récup." ou "neuf" (mini PC spécialisé client léger). <|> " => suggestions : « “
82 Guillemets typographiques fermants. [[68:69]] => Nous donnerons quelques exemples de configurations "récup." ou "neuf" (mini PC spécialisé client léger). <|> " => suggestions :  »”
86 Si “Mo” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. [[23:28]] =>   * **Mémoire vive** : 48 Mo constituent la limite basse, mais 128 Mo sont conseillés et 256 Mo seront parfaits. <|> 48 mo => suggestions : 48 Mo
86 Si “Mo” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. [[63:69]] =>   * **Mémoire vive** : 48 Mo constituent la limite basse, mais 128 Mo sont conseillés et 256 Mo seront parfaits. <|> 128 mo => suggestions : 128 Mo
86 Si “Mo” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. [[89:95]] =>   * **Mémoire vive** : 48 Mo constituent la limite basse, mais 128 Mo sont conseillés et 256 Mo seront parfaits. <|> 256 mo => suggestions : 256 Mo
87 Mot inconnu : Mhz [[36:39]] =>   * **Processeur**, Pentium II, 200 Mhz ou mieux. En deçà, le confort d'utilisation risque d'être juste. <|> mhz
88 Si “Mb/s” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. [[22:30]] =>   * **Carte réseau**, 100 Mb/s (l'utilisation d'une carte réseau ancienne 10 Mb/s peut rendre le client inutilisable). <|> 100 mb/s => suggestions : 100 Mb/s
88 Mot inconnu : Mb [[26:28]] =>   * **Carte réseau**, 100 Mb/s (l'utilisation d'une carte réseau ancienne 10 Mb/s peut rendre le client inutilisable). <|> mb
