1 Espace(s) en fin de ligne à supprimer. [[14:15]] => FIXME tag>wiki  <|>  

4 Mot inconnu : Echanger [[7:15]] => ====== Echanger avec la liste de discussion de la documentation ====== <|> echanger
16 Apostrophe incorrecte. [[13:16]] =>   * Vérifiez d' avoir à minima la liste en destinataire en choisissant <<** Répondre à tous** >>.\\ Il peut arriver qu'avec la seule option <<** Répondre **>>, il n'y ai l'expéditeur du dernier message et non l'adresse de la liste de discussion. Cette dernière ne peut alors pas profiter de vos commentaires. <|> d'  => suggestions : d’
16 Guillemets typographiques fermants. [[14:15]] =>   * Vérifiez d' avoir à minima la liste en destinataire en choisissant <<** Répondre à tous** >>.\\ Il peut arriver qu'avec la seule option <<** Répondre **>>, il n'y ai l'expéditeur du dernier message et non l'adresse de la liste de discussion. Cette dernière ne peut alors pas profiter de vos commentaires. <|> ' => suggestions : ’”›
16 Conjugaison erronée. Accord avec “il”. Le verbe devrait être à la 3ᵉ personne du singulier. [[167:169]] =>   * Vérifiez d' avoir à minima la liste en destinataire en choisissant <<** Répondre à tous** >>.\\ Il peut arriver qu'avec la seule option <<** Répondre **>>, il n'y ai l'expéditeur du dernier message et non l'adresse de la liste de discussion. Cette dernière ne peut alors pas profiter de vos commentaires. <|> ai => suggestions : a

17 Pas d’espace avant une virgule. [[130:132]] => <note>Avec <<** Répondre à tous** >>, il est possible d'avoir dans les destinataires le nom du dernier expéditeur **__ET__**  la liste , créant ainsi un doublon pour celui qui est abonné. Regardez-bien les expéditeurs avant d'envoyer.</note>  <|> is => suggestions : ,
17 Espace(s) en fin de ligne à supprimer. [[237:238]] => <note>Avec <<** Répondre à tous** >>, il est possible d'avoir dans les destinataires le nom du dernier expéditeur **__ET__**  la liste , créant ainsi un doublon pour celui qui est abonné. Regardez-bien les expéditeurs avant d'envoyer.</note>  <|> o
19 Guillemets typographiques ouvrants. [[140:141]] =>   * Ne pas créer un nouveau sujet en faisant répondre et changer le titre: le fil de regroupement peut ainsi mal se faire. Partez d'un mail "neuf" <|> " => suggestions : « “
19 Guillemets typographiques fermants. [[145:146]] =>   * Ne pas créer un nouveau sujet en faisant répondre et changer le titre: le fil de regroupement peut ainsi mal se faire. Partez d'un mail "neuf" <|> " => suggestions :  »”
