1 Mot inconnu : Fudge => ====== Postal Fudge Pack ====== | fudge

6 Mot inconnu : Fudge => L'installation de Postal Fudge Pack en natif sur Ubuntu 10.10 pose problème. | fudge

8 Mot inconnu : linux_installer => Quand on lance le fichier **linux_installer.sh** dans un terminal depuis le DVD ou un répertoire qui contient les fichiers du jeu, on obtient cette erreur: | linux_installer
8 Mot inconnu : sh => Quand on lance le fichier **linux_installer.sh** dans un terminal depuis le DVD ou un répertoire qui contient les fichiers du jeu, on obtient cette erreur: | sh

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Copying to a temporary location... |    => suggestions : ['']
10 Mot inconnu : Copying =>   Copying to a temporary location... | copying
10 Mot inconnu : to =>   Copying to a temporary location... | to
10 Mot inconnu : temporary =>   Copying to a temporary location... | temporary
10 Typographie : points de suspension. Utilisez le caractère dédié. =>   Copying to a temporary location... | ... => suggestions : ['…']

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Verifying archive integrity... All good. |    => suggestions : ['']
11 Mot inconnu : Verifying =>   Verifying archive integrity... All good. | verifying
11 Mot inconnu : integrity =>   Verifying archive integrity... All good. | integrity
11 Typographie : points de suspension. Utilisez le caractère dédié. =>   Verifying archive integrity... All good. | ... => suggestions : ['…']
11 Mot inconnu : All =>   Verifying archive integrity... All good. | all

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Uncompressing The Postal Fudge Pack for x86 GNU/Linux................................................................. |    => suggestions : ['']
12 Mot inconnu : Uncompressing =>   Uncompressing The Postal Fudge Pack for x86 GNU/Linux................................................................. | uncompressing
12 Mot inconnu : The =>   Uncompressing The Postal Fudge Pack for x86 GNU/Linux................................................................. | the
12 Mot inconnu : Fudge =>   Uncompressing The Postal Fudge Pack for x86 GNU/Linux................................................................. | fudge
12 Mot inconnu : x86 =>   Uncompressing The Postal Fudge Pack for x86 GNU/Linux................................................................. | x86
12 Typographie : succession de points. Utilisez le caractère dédié. =>   Uncompressing The Postal Fudge Pack for x86 GNU/Linux................................................................. | ................................................................. => suggestions : ['………………………………………………………']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   setup.data/setup.xml:1: parser error : Document is empty |    => suggestions : ['']
13 Mot inconnu : setup =>   setup.data/setup.xml:1: parser error : Document is empty | setup
13 Il manque un espace. =>   setup.data/setup.xml:1: parser error : Document is empty | data => suggestions : [' data']
13 Mot inconnu : setup =>   setup.data/setup.xml:1: parser error : Document is empty | setup
13 Mot inconnu : xml =>   setup.data/setup.xml:1: parser error : Document is empty | xml
13 Il manque un espace. =>   setup.data/setup.xml:1: parser error : Document is empty | 1 => suggestions : [' 1']
13 Mot inconnu : error =>   setup.data/setup.xml:1: parser error : Document is empty | error
13 Mot inconnu : is =>   setup.data/setup.xml:1: parser error : Document is empty | is
13 Mot inconnu : empty =>   setup.data/setup.xml:1: parser error : Document is empty | empty

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ^ |    => suggestions : ['']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   setup.data/setup.xml:1: parser error : Start tag expected, '<' not found |    => suggestions : ['']
