1 Mot inconnu : ma_ville => ====== Groupe des utilisateurs Ubuntu-fr ma_ville ====== | ma_ville

3 Accord de genre erroné : « GULL » est masculin. => La GULL ubuntu-fr //ma_ville// (lien vers le site web) regroupe la communauté des utilisateurs d'Ubuntu francophones dans la région de //ma_ville// dans le département de //mon_département// / la région de //ma_région//. | la => suggestions : ['Le']
3 Mot inconnu : ubuntu-fr => La GULL ubuntu-fr //ma_ville// (lien vers le site web) regroupe la communauté des utilisateurs d'Ubuntu francophones dans la région de //ma_ville// dans le département de //mon_département// / la région de //ma_région//. | ubuntu-fr
3 Mot inconnu : ma_ville => La GULL ubuntu-fr //ma_ville// (lien vers le site web) regroupe la communauté des utilisateurs d'Ubuntu francophones dans la région de //ma_ville// dans le département de //mon_département// / la région de //ma_région//. | ma_ville
3 Mot inconnu : ma_ville => La GULL ubuntu-fr //ma_ville// (lien vers le site web) regroupe la communauté des utilisateurs d'Ubuntu francophones dans la région de //ma_ville// dans le département de //mon_département// / la région de //ma_région//. | ma_ville
3 Mot inconnu : mon_département => La GULL ubuntu-fr //ma_ville// (lien vers le site web) regroupe la communauté des utilisateurs d'Ubuntu francophones dans la région de //ma_ville// dans le département de //mon_département// / la région de //ma_région//. | mon_département
3 Mot inconnu : ma_région => La GULL ubuntu-fr //ma_ville// (lien vers le site web) regroupe la communauté des utilisateurs d'Ubuntu francophones dans la région de //ma_ville// dans le département de //mon_département// / la région de //ma_région//. | ma_région

12 Mot inconnu : Install => En plus des rencontres, nous organisons occasionnellement différents évènements centrés sur Ubuntu-fr, comme des Install Party, Bug Jam ... | install
12 Mot inconnu : Party => En plus des rencontres, nous organisons occasionnellement différents évènements centrés sur Ubuntu-fr, comme des Install Party, Bug Jam ... | party
12 Typographie : points de suspension. Utilisez le caractère dédié. => En plus des rencontres, nous organisons occasionnellement différents évènements centrés sur Ubuntu-fr, comme des Install Party, Bug Jam ... | ... => suggestions : ['…']

18 Pas de majuscule sur les jours de la semaine. => La prochaine rencontre aura lieu le **Jeudi 2 septembre à 19h**. | jeudi => suggestions : ['jeudi']

19 Accord avec la forme verbale “sera” : “Nouveautés” devrait être au singulier. => \\ Le thème de la présentation sera **Nouveautés de Ubuntu 10.10 Maverick Meerkat**. | nouveautés => suggestions : ['Nouveauté']
19 Mot inconnu : Maverick => \\ Le thème de la présentation sera **Nouveautés de Ubuntu 10.10 Maverick Meerkat**. | maverick
19 Mot inconnu : Meerkat => \\ Le thème de la présentation sera **Nouveautés de Ubuntu 10.10 Maverick Meerkat**. | meerkat

23 Mot inconnu : Release => Le prochain évènement sera la **Release Party**, le **10 octobre**, pour la sortie de Ubuntu 10.10 Maverick Meerkat. | release
23 Mot inconnu : Party => Le prochain évènement sera la **Release Party**, le **10 octobre**, pour la sortie de Ubuntu 10.10 Maverick Meerkat. | party
23 Mot inconnu : Maverick => Le prochain évènement sera la **Release Party**, le **10 octobre**, pour la sortie de Ubuntu 10.10 Maverick Meerkat. | maverick
23 Mot inconnu : Meerkat => Le prochain évènement sera la **Release Party**, le **10 octobre**, pour la sortie de Ubuntu 10.10 Maverick Meerkat. | meerkat

24 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A cette occasion, nous organisons une sortie restaurant au //nom_du_resto//. Veuillez vous inscrire avant le 5 octobre 2010 sur //lien_doodle// pour réserver votre place. | a => suggestions : ['À']
24 Mot inconnu : nom_du_resto => A cette occasion, nous organisons une sortie restaurant au //nom_du_resto//. Veuillez vous inscrire avant le 5 octobre 2010 sur //lien_doodle// pour réserver votre place. | nom_du_resto
24 Mot inconnu : lien_doodle => A cette occasion, nous organisons une sortie restaurant au //nom_du_resto//. Veuillez vous inscrire avant le 5 octobre 2010 sur //lien_doodle// pour réserver votre place. | lien_doodle

29 Mot inconnu : twitter => Vous pouvez également nous rejoindre sur notre groupe //twitter/identica/etc//. | twitter
29 Mot inconnu : identica => Vous pouvez également nous rejoindre sur notre groupe //twitter/identica/etc//. | identica

31 Mot inconnu : Launchpad => Notre site web, et notre page Launchpad vous donnera d'autres renseignements utiles. | launchpad

37 Mot inconnu : ma_ville => Ubuntu-fr //ma_ville// a participé aux évènements suivants : | ma_ville

47 Mot inconnu : Michu => Si vous souhaitez participer à ce groupe de travail, vous pouvez consulter Mlle Michu par mail (mailto:michu@ma_gull.org). | michu
47 Mot inconnu : mailto => Si vous souhaitez participer à ce groupe de travail, vous pouvez consulter Mlle Michu par mail (mailto:michu@ma_gull.org). | mailto
47 Il manque un espace. => Si vous souhaitez participer à ce groupe de travail, vous pouvez consulter Mlle Michu par mail (mailto:michu@ma_gull.org). | michu@ => suggestions : [' __MAIL']

53 Accord de genre erroné : « GULL » est masculin. => La GULL ubuntu-fr //ma_ville// est une association de loi 1901 fondée le 1 avril 2002. | la => suggestions : ['Le']
53 Mot inconnu : ubuntu-fr => La GULL ubuntu-fr //ma_ville// est une association de loi 1901 fondée le 1 avril 2002. | ubuntu-fr
53 Mot inconnu : ma_ville => La GULL ubuntu-fr //ma_ville// est une association de loi 1901 fondée le 1 avril 2002. | ma_ville

56 Mot inconnu : xx => Nous comptons aujourd'hui xx adhérents à l'associations. | xx
56 Accord de nombre erroné : après « l’ », « associations » devrait être au singulier. => Nous comptons aujourd'hui xx adhérents à l'associations. | associations => suggestions : ['association']
