1 Espace(s) surnuméraire(s) à supprimer. [[33:35]] => ====== LIRC, dans le vif du sujet  ! ====== <|>    => suggestions :  

3 Mot inconnu : Maverick [[19:27]] => <note>Valable pour Maverick</note> <|> maverick
10 Mot inconnu : Cinema [[206:212]] => LIRC est une excellente suite logicielle visant à utiliser des télécommandes avec GNU/Linux. Sa compatibilité avec tout et n’importe quoi et sa versatilité en font un incontournable de tout PC orienté Home Cinema. <|> cinema

11 Espace(s) surnuméraire(s) à supprimer. [[94:96]] => Concrètement, et c’est souvent ce qu’on a du mal à comprendre la première fois qu’on y touche,  LIRC est un mot fourre-tout pour ce qui est à la fois une paquet exécutables  (sous forme de démon ou non), un framework (utilisable par les application tierces), et un ensemble de modules noyaux (pour piloter le hardware de vos récepteurs). <|>    => suggestions :  
11 Accord de genre erroné : « paquet » est masculin. [[150:153]] => Concrètement, et c’est souvent ce qu’on a du mal à comprendre la première fois qu’on y touche,  LIRC est un mot fourre-tout pour ce qui est à la fois une paquet exécutables  (sous forme de démon ou non), un framework (utilisable par les application tierces), et un ensemble de modules noyaux (pour piloter le hardware de vos récepteurs). <|> une => suggestions : un
11 Accord de nombre erroné avec « une paquet » : « exécutables » devrait être au singulier. [[161:172]] => Concrètement, et c’est souvent ce qu’on a du mal à comprendre la première fois qu’on y touche,  LIRC est un mot fourre-tout pour ce qui est à la fois une paquet exécutables  (sous forme de démon ou non), un framework (utilisable par les application tierces), et un ensemble de modules noyaux (pour piloter le hardware de vos récepteurs). <|> exécutables => suggestions : exécutable
11 Espace(s) surnuméraire(s) à supprimer. [[172:174]] => Concrètement, et c’est souvent ce qu’on a du mal à comprendre la première fois qu’on y touche,  LIRC est un mot fourre-tout pour ce qui est à la fois une paquet exécutables  (sous forme de démon ou non), un framework (utilisable par les application tierces), et un ensemble de modules noyaux (pour piloter le hardware de vos récepteurs). <|>    => suggestions :  
11 Accord de nombre erroné : « application » devrait être au pluriel. [[237:248]] => Concrètement, et c’est souvent ce qu’on a du mal à comprendre la première fois qu’on y touche,  LIRC est un mot fourre-tout pour ce qui est à la fois une paquet exécutables  (sous forme de démon ou non), un framework (utilisable par les application tierces), et un ensemble de modules noyaux (pour piloter le hardware de vos récepteurs). <|> application => suggestions : applications
16 Espace(s) en fin de ligne à supprimer. [[503:504]] => Par défaut, Les scripts d'initialisation de LIRC sont correctement configurés pour la gestion d'un seul appareil, mais en réalité les scripts du pilote peuvent en gérer plusieurs. Si vous cherchez à configurer un transmetteur infrarouge et un récepteur, plusieurs transmetteurs, ou plusieurs récepteurs, commencez d'abord par configurer un seul appareil et vérifiez son bon fonctionnement. Après cela seulement, vous pourrez vous intéresser à la section traitant la configuration de multiples appareils.  <|>  

33 Accord erroné : “télécommande” et “reconnu” ne sont pas accordés. Mettez au féminin singulier. [[42:49]] => Cela signifie que votre télécommande sera reconnu comme un clavier par Xorg (kdb = keyboard = clavier). <|> reconnu => suggestions : reconnue
33 Mot inconnu : kdb [[77:80]] => Cela signifie que votre télécommande sera reconnu comme un clavier par Xorg (kdb = keyboard = clavier). <|> kdb
33 Mot inconnu : keyboard [[83:91]] => Cela signifie que votre télécommande sera reconnu comme un clavier par Xorg (kdb = keyboard = clavier). <|> keyboard
37 Espace(s) en fin de ligne à supprimer. [[33:34]] => Brancher le récepteur et lancer :  <|>  
42 Espace(s) en fin de ligne à supprimer. [[33:34]] => Brancher le récepteur et lancer :  <|>  

50 Mot inconnu : ir [[32:34]] => On repère la ligne qui contient ir (infra rouge). Si vous avez un doute, débranchez et rebranchez votre récepteur infrarouge, pour voir quelle ligne apparait. <|> ir

52 Tournure familière. Utilisez “être allé” plutôt que “avoir été”. [[92:106]] => On remarque qu'il s'agit juste d'un lien symbolique sur un évènement, et cet évènement nous avais déjà été renseigner par les commandes ci-dessus. <|> avais déjà été
52 Incohérence. Après “avoir été”, il faut un participe passé (à moins que “avoir été” signifie ici “être allé”). [[107:117]] => On remarque qu'il s'agit juste d'un lien symbolique sur un évènement, et cet évènement nous avais déjà été renseigner par les commandes ci-dessus. <|> renseigner => suggestions : renseignérenseignéerenseignéesrenseignés

53 Mot inconnu : Udev [[0:4]] => Udev peut décider d'attribuer à votre périphérique un fichier ///dev/input/eventx// différent à chaque démarrage, d'où l'intérêt de ce chemin qui ne bougera jamais (cela évite de créer une règle udev qui fixe un ///dev/input/eventx// particulier). <|> udev
53 Mot inconnu : udev [[195:199]] => Udev peut décider d'attribuer à votre périphérique un fichier ///dev/input/eventx// différent à chaque démarrage, d'où l'intérêt de ce chemin qui ne bougera jamais (cela évite de créer une règle udev qui fixe un ///dev/input/eventx// particulier). <|> udev

55 Mot inconnu : xxx [[75:78]] => Vous devez donc retenir un chemin de la forme "///dev/input/by-path/xxx//" xxx variant suivant votre modèle. <|> xxx
62 Accord de genre erroné avec « appuyés ». [[87:94]] => Si xorg arrive à attraper les signaux de la télécommande, cette commande affichera les touches appuyés :  <|> touches => suggestions : touchés
62 Accord de genre erroné entre « touches » et « appuyés ». [[95:102]] => Si xorg arrive à attraper les signaux de la télécommande, cette commande affichera les touches appuyés :  <|> appuyés => suggestions : appuyées
62 Espace(s) en fin de ligne à supprimer. [[104:105]] => Si xorg arrive à attraper les signaux de la télécommande, cette commande affichera les touches appuyés :  <|>  
64 Espace(s) en fin de ligne à supprimer. [[59:60]] => Si le périphérique est considéré comme un clavier par xorg,  <|>  

65 Guillemets typographiques ouvrants. [[67:68]] => on peut savoir ce qui sa passe sur ce périphérique (les évènements "attrapés" par le xorg) grâce à  <|> " => suggestions : « “
65 Guillemets typographiques fermants. [[76:77]] => on peut savoir ce qui sa passe sur ce périphérique (les évènements "attrapés" par le xorg) grâce à  <|> " => suggestions :  »”
65 Espace(s) en fin de ligne à supprimer. [[98:99]] => on peut savoir ce qui sa passe sur ce périphérique (les évènements "attrapés" par le xorg) grâce à  <|>  

67 Mot inconnu : votre_periph [[2:14]] => //votre_periph// correspondant au chemin trouvé plus haut. <|> votre_periph

74 Espace(s) en fin de ligne à supprimer. [[27:28]] => Ensuite il suffit de lancer  <|>  

76 Conjugaison erronée. Accord avec “cela”. Le verbe devrait être à la 3ᵉ personne du singulier. [[81:85]] => Puis appuyez sur les touches de la télécommande, si des lignes s'affichent, cela veux dire que LIRC attrape bien les événement de la télécommande. <|> veux => suggestions : veut
76 Accord de nombre erroné : « événement » devrait être au pluriel. [[117:126]] => Puis appuyez sur les touches de la télécommande, si des lignes s'affichent, cela veux dire que LIRC attrape bien les événement de la télécommande. <|> événement => suggestions : événements

81 Mot inconnu : xmodmap [[9:16]] => Utiliser xmodmap pour assigner les touches a des actions : http://doc.ubuntu-fr.org/clavier_multimedia#les_keysyms_de_x . <|> xmodmap
90 Accord de nombre erroné : « bon » devrait être au pluriel. [[17:20]] => FIXME donner les bon paramètres a l'installation fait gagner du temps. <|> bon => suggestions : bons

94 Espace(s) en fin de ligne à supprimer. [[36:37]] => C’est ici qu’est défini le matériel.  <|>  
95 Après “faire attention à ce que”, le verbe doit être au subjonctif. [[280:285]] => Par contre, **il ne fait pas partie de LIRC** ! Ce fichier de configuration est une aide, laissée par les packageurs de votre distribution (Ubuntu dans notre cas) afin de simplifier l’utilisation des démons contrôlant LIRC. Il est donc nécessaire de faire attention à ce que vous lisez sur Internet, car en fonction de votre distribution les paramètres peuvent drastiquement changer. Le fichier peut même être totalement inutile. (Pour l’anecdote, je l’ai appris à mes dépends en perdant quelques heures lors d’une migration Ubuntu vers Debian) <|> lisez => suggestions : lisiezlussiez
95 Locution « à mes/tes/ses/nos/vos/leurs dépens ». [[463:476]] => Par contre, **il ne fait pas partie de LIRC** ! Ce fichier de configuration est une aide, laissée par les packageurs de votre distribution (Ubuntu dans notre cas) afin de simplifier l’utilisation des démons contrôlant LIRC. Il est donc nécessaire de faire attention à ce que vous lisez sur Internet, car en fonction de votre distribution les paramètres peuvent drastiquement changer. Le fichier peut même être totalement inutile. (Pour l’anecdote, je l’ai appris à mes dépends en perdant quelques heures lors d’une migration Ubuntu vers Debian) <|> à mes dépends => suggestions : à mes dépens
