
5 Mot inconnu : XHTML => ====== Initiation au XHTML ====== | xhtml

7 Mot inconnu : chan => Cette page résulte de la session de cours qui s'est déroulé le 14.12.06 sur le chan #ubuntu-fr-classroom du réseau Freenode. | chan
7 Mot inconnu : Freenode => Cette page résulte de la session de cours qui s'est déroulé le 14.12.06 sur le chan #ubuntu-fr-classroom du réseau Freenode. | freenode

14 Mot inconnu : XHTML => Le XHTML est un langage de balisage servant à créer des pages web. Il est la dernière norme proposée par le [[http://www.w3.org|w3c]]. | xhtml

20 Mot inconnu : XHTML => Le XHTML est un **langage à balises**. On va donc voir les éléments composant ce langage : | xhtml

43 Mot inconnu : XHTML => ===== Différence entre HTML et XHTML ===== | xhtml

45 Mot inconnu : XHTML => La différence entre HTML et XHTML porte principalement sur les règles de syntaxe de ces deux langages. | xhtml

58 Mot inconnu : XHTML => XHTML lui est beacoup plus strict et donc apporte une rigueur de syntaxe qui est un "plus" en développement web. | xhtml
58 Mot inconnu : beacoup => XHTML lui est beacoup plus strict et donc apporte une rigueur de syntaxe qui est un "plus" en développement web. | beacoup
58 Guillemets typographiques ouvrants. => XHTML lui est beacoup plus strict et donc apporte une rigueur de syntaxe qui est un "plus" en développement web. | " => suggestions : ['«\xa0', '“']
58 Guillemets typographiques fermants. => XHTML lui est beacoup plus strict et donc apporte une rigueur de syntaxe qui est un "plus" en développement web. | " => suggestions : ['\xa0»', '”']

61 Mot inconnu : XHTML => ==== En XHTML ==== | xhtml

72 Mot inconnu : XHTML => En plus de ces règles de syntaxe, les balises d'un document XHTML se doivent d'être **bien imbriquées**, c'est à dire que si on ouvre une balise X puis une balise Y, il faudra d'abord refermer la balise Y avant de refermer la balise X. | xhtml
72 Il manque les traits d’union. => En plus de ces règles de syntaxe, les balises d'un document XHTML se doivent d'être **bien imbriquées**, c'est à dire que si on ouvre une balise X puis une balise Y, il faudra d'abord refermer la balise Y avant de refermer la balise X. | c'est à dire => suggestions : ['c’est-à-dire']

103 Guillemets typographiques ouvrants. => On remarquera que le premier exemple est beaucoup plus lisible, puisqu'on voit visuellement "l'arborescence" du document. | " => suggestions : ['«\xa0', '“']
103 Guillemets typographiques fermants. => On remarquera que le premier exemple est beaucoup plus lisible, puisqu'on voit visuellement "l'arborescence" du document. | " => suggestions : ['\xa0»', '”']

109 Mot inconnu : XHTML => Avant de commencer à rédiger une page en XHTML, il faut se poser la question de l'encodage de caractères utilisé. | xhtml

112 Guillemets typographiques ouvrants. => Sous Windows, c'est un "pseudo" ISO-8859-1 qui est utilisé. | " => suggestions : ['«\xa0', '“']
112 Guillemets typographiques fermants. => Sous Windows, c'est un "pseudo" ISO-8859-1 qui est utilisé. | " => suggestions : ['\xa0»', '”']

