7 Mot inconnu : dkms [[322:326]] => https://www.google.fr/search?client=ubuntu&channel=fs&dcr=0&biw=1333&bih=663&ei=T0H2WYLJJMP6UKTmi4AG&q=github+dkms+linux&oq=github+dkms+linux&gs_l=psy-ab.12...15434.17052.0.19374.6.6.0.0.0.0.625.1067.0j2j1j5-1.4.0....0...1.1.64.psy-ab..2.1.207...0i7i5i30k1j0i8i7i30k1.0.b1ReKft_lbY Parce qui si google sait que je cherche dkms il va arreter de me vendre des matelas ou de me parler de gens malades, si tu comprends pourquoi je dis ca c'est que tu regarde toutes les conneries que je mets en commentaires \\ <|> dkms
7 Mot inconnu : arreter [[333:340]] => https://www.google.fr/search?client=ubuntu&channel=fs&dcr=0&biw=1333&bih=663&ei=T0H2WYLJJMP6UKTmi4AG&q=github+dkms+linux&oq=github+dkms+linux&gs_l=psy-ab.12...15434.17052.0.19374.6.6.0.0.0.0.625.1067.0j2j1j5-1.4.0....0...1.1.64.psy-ab..2.1.207...0i7i5i30k1j0i8i7i30k1.0.b1ReKft_lbY Parce qui si google sait que je cherche dkms il va arreter de me vendre des matelas ou de me parler de gens malades, si tu comprends pourquoi je dis ca c'est que tu regarde toutes les conneries que je mets en commentaires \\ <|> arreter
7 Mot inconnu : ca [[431:433]] => https://www.google.fr/search?client=ubuntu&channel=fs&dcr=0&biw=1333&bih=663&ei=T0H2WYLJJMP6UKTmi4AG&q=github+dkms+linux&oq=github+dkms+linux&gs_l=psy-ab.12...15434.17052.0.19374.6.6.0.0.0.0.625.1067.0j2j1j5-1.4.0....0...1.1.64.psy-ab..2.1.207...0i7i5i30k1j0i8i7i30k1.0.b1ReKft_lbY Parce qui si google sait que je cherche dkms il va arreter de me vendre des matelas ou de me parler de gens malades, si tu comprends pourquoi je dis ca c'est que tu regarde toutes les conneries que je mets en commentaires \\ <|> ca
7 Conjugaison erronée. Accord avec “tu”. Le verbe devrait être à la 2ᵉ personne du singulier. [[447:454]] => https://www.google.fr/search?client=ubuntu&channel=fs&dcr=0&biw=1333&bih=663&ei=T0H2WYLJJMP6UKTmi4AG&q=github+dkms+linux&oq=github+dkms+linux&gs_l=psy-ab.12...15434.17052.0.19374.6.6.0.0.0.0.625.1067.0j2j1j5-1.4.0....0...1.1.64.psy-ab..2.1.207...0i7i5i30k1j0i8i7i30k1.0.b1ReKft_lbY Parce qui si google sait que je cherche dkms il va arreter de me vendre des matelas ou de me parler de gens malades, si tu comprends pourquoi je dis ca c'est que tu regarde toutes les conneries que je mets en commentaires \\ <|> regarde => suggestions : ['regardes']
10 Mot inconnu : ca [[52:54]] => <code>blacklist rtl8xxxu</code> parce que je trouve ca mieux que <file>file</file> et que c'est un brouillon de brouillon \\ <|> ca

12 Espace(s) surnuméraire(s) à supprimer. [[71:73]] => ====== Comment installer le driver wifi pour un périphérique qui a l'ID  0bda:b720. ====== <|>    => suggestions : [' ']
12 Mot inconnu : bda [[74:77]] => ====== Comment installer le driver wifi pour un périphérique qui a l'ID  0bda:b720. ====== <|> bda
12 Il manque un espace. [[78:82]] => ====== Comment installer le driver wifi pour un périphérique qui a l'ID  0bda:b720. ====== <|> b720 => suggestions : [' b720']
12 Mot inconnu : b720 [[78:82]] => ====== Comment installer le driver wifi pour un périphérique qui a l'ID  0bda:b720. ====== <|> b720

