1 Mot inconnu : GnomeShell => ====== GnomeShell MultiDesktop Mockup ====== | gnomeshell
1 Mot inconnu : MultiDesktop => ====== GnomeShell MultiDesktop Mockup ====== | multidesktop
1 Mot inconnu : Mockup => ====== GnomeShell MultiDesktop Mockup ====== | mockup

9 Typographie : points de suspension. Utilisez le caractère dédié. => Pour le moment nous possédons un seul dossier Bureau par utilisateur, il se trouve dans /home/vous/Bureau. Ce dossier est affiché en plein écran sur chaque espace de travail, et il permet de mettre en avant les documents sur lesquels nous travaillons le plus. Malheureusement ce Bureau est unique. Chacun de nous travaille sur plusieurs projets différents au quotidien (travail / voyages / photos / achats...). Le Bureau est notre espace de travail privilégié, il peut donc vite être saturé et illisible. | ... => suggestions : ['…']
22 Espace(s) en fin de ligne à supprimer. => Afin de faciliter la gestion du Bureau, un nouveau menu est ajouté dans la vue d'ensemble. Il reprend l'arborescence des dossiers Bureau et permet avec un simple glisser-déposer d'affecter le dossier Bureau à n'importe quel espace de travail. De plus depuis le menu, une édition simple de vos projets est possible :  |   => suggestions : ['']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *Ajouter ou supprimer un dossier Bureau |    => suggestions : ['']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *Créer et gérer des groupes de dossiers (en créant des catégories par exemple : travail / photos / vacances...) |    => suggestions : ['']
24 Typographie : points de suspension. Utilisez le caractère dédié. =>   *Créer et gérer des groupes de dossiers (en créant des catégories par exemple : travail / photos / vacances...) | ... => suggestions : ['…']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *Renommer un dossier |    => suggestions : ['']

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *L'affecter ou le changer de groupe |    => suggestions : ['']

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *Dupliquer un dossier existant |    => suggestions : ['']

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *Fusionner plusieurs dossiers |    => suggestions : ['']

31 Guillemets typographiques ouvrants. => ==== Une arborescence de "dossiers-bureaux" simple ==== | " => suggestions : ['«\xa0', '“']
31 Guillemets typographiques fermants. => ==== Une arborescence de "dossiers-bureaux" simple ==== | " => suggestions : ['\xa0»', '”']

35 Il manque un espace à côté du tiret. => 1- Le groupe "photo", 3 projets : | -  => suggestions : [' – ', ' — ']
35 Guillemets typographiques ouvrants. => 1- Le groupe "photo", 3 projets : | " => suggestions : ['«\xa0', '“']
35 Guillemets typographiques fermants. => 1- Le groupe "photo", 3 projets : | " => suggestions : ['\xa0»', '”']

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   /home/vous/Bureau/Photo/New-York |    => suggestions : ['']

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   /home/vous/Bureau/Photo/Maroc |    => suggestions : ['']

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   /home/vous/Bureau/Photo/Prague |    => suggestions : ['']

40 Il manque un espace à côté du tiret. => 2- Le groupe "travail", 2 projets : | -  => suggestions : [' – ', ' — ']
40 Guillemets typographiques ouvrants. => 2- Le groupe "travail", 2 projets : | " => suggestions : ['«\xa0', '“']
40 Guillemets typographiques fermants. => 2- Le groupe "travail", 2 projets : | " => suggestions : ['\xa0»', '”']

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   /home/vous/Bureau/Travail/Server1 |    => suggestions : ['']

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   /home/vous/Bureau/Travail/RelationClient15 |    => suggestions : ['']
45 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Chaque dossier peut comporter un fond d'écran spécifique pour faciliter sa reconnaissance. Le fichier image est caché dans chaque dossier Bureau, avec une dénomination unique (ex : .background.png |  . => suggestions : ['. ', '.']

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   /home/vous/Bureau/Bureau correspond au Bureau 0. |    => suggestions : ['']
50 S’il s’agit d’un impératif, ajoutez un “s”. =>   /home/vous/Bureau/Bureau correspond au Bureau 0. | correspond => suggestions : ['corresponds']

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *Il est possible de sauvegarder et de transporter facilement votre projet, puisqu'il s'agit d'un dossier |    => suggestions : ['']

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *À l'ouverture de votre session, vous pouvez retrouver votre dernier espace de travail ouvert |    => suggestions : ['']

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *Certains fichiers peuvent être ajoutés de manière systématique lors de la création d'un nouveau dossier Bureau |    => suggestions : ['']
