
3 Mot inconnu : Trusty-LTS [[32:42]] => ====== Checklist d'installation Trusty-LTS ====== <|> trusty-lts

6 Mot inconnu : install [[36:43]] => ===== Précautions avant de lancer l'install ===== <|> install
7 Guillemets typographiques ouvrants. [[76:77]] =>   * Transférer tout **ce qui peut trainer sur le bureau** vers la partition "Donnees" <|> " => suggestions : ['«\xa0', '“']
7 Mot inconnu : Donnees [[77:84]] =>   * Transférer tout **ce qui peut trainer sur le bureau** vers la partition "Donnees" <|> donnees
7 Guillemets typographiques fermants. [[84:85]] =>   * Transférer tout **ce qui peut trainer sur le bureau** vers la partition "Donnees" <|> " => suggestions : ['\xa0»', '”']
8 Mot inconnu : thunderbird [[83:94]] =>   * Sauvegarder les **dossiers cachés de configuration** qu'on souhaite garder (~/.thunderbird, ~/.mozilla, nos themes personnalisés,..), <|> thunderbird
8 Mot inconnu : mozilla [[99:106]] =>   * Sauvegarder les **dossiers cachés de configuration** qu'on souhaite garder (~/.thunderbird, ~/.mozilla, nos themes personnalisés,..), <|> mozilla
8 Mot inconnu : themes [[112:118]] =>   * Sauvegarder les **dossiers cachés de configuration** qu'on souhaite garder (~/.thunderbird, ~/.mozilla, nos themes personnalisés,..), <|> themes
8 Erreur de numérisation ? Virgules au lieu de points ? [[132:135]] =>   * Sauvegarder les **dossiers cachés de configuration** qu'on souhaite garder (~/.thunderbird, ~/.mozilla, nos themes personnalisés,..), <|> ,.. => suggestions : ['…']
8 Typographie : un ou trois points ? [[133:135]] =>   * Sauvegarder les **dossiers cachés de configuration** qu'on souhaite garder (~/.thunderbird, ~/.mozilla, nos themes personnalisés,..), <|> .. => suggestions : ['…', '.']
9 Mot inconnu : Xubuntu [[76:83]] =>   * Noter les **logiciels nouveaux** utilisés depuis la dernière version de Xubuntu, <|> xubuntu
10 Mot inconnu : install [[52:59]] =>   * **Débrancher la Webcam USB** car peut planter l'install. <|> install
24 Guillemets typographiques ouvrants. [[30:31]] =>   * Dans le **partitionnement "manuel"** : <|> " => suggestions : ['«\xa0', '“']
24 Guillemets typographiques fermants. [[37:38]] =>   * Dans le **partitionnement "manuel"** : <|> " => suggestions : ['\xa0»', '”']
29 Mot inconnu : GParted [[60:67]] =>   * **Étiqueter** la partition nouvellement installée **via GParted**. <|> gparted

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

33 Mot inconnu : FSTAB [[16:21]] => ===== swap dans FSTAB ===== <|> fstab

34 Le verbe devrait être à l’infinitif. [[37:47]] => Quand on a plusieurs distributions d'installées sur la machine comme moi, le fait que le swap soit monté avec son nom UUID m'empêche d'utiliser la mise en veille. En effet, chaque install renomme l'UUID du swap.  <|> installées => suggestions : ['installer']
34 Mot inconnu : UUID [[118:122]] => Quand on a plusieurs distributions d'installées sur la machine comme moi, le fait que le swap soit monté avec son nom UUID m'empêche d'utiliser la mise en veille. En effet, chaque install renomme l'UUID du swap.  <|> uuid
34 Mot inconnu : install [[180:187]] => Quand on a plusieurs distributions d'installées sur la machine comme moi, le fait que le swap soit monté avec son nom UUID m'empêche d'utiliser la mise en veille. En effet, chaque install renomme l'UUID du swap.  <|> install
34 Mot inconnu : UUID [[198:202]] => Quand on a plusieurs distributions d'installées sur la machine comme moi, le fait que le swap soit monté avec son nom UUID m'empêche d'utiliser la mise en veille. En effet, chaque install renomme l'UUID du swap.  <|> uuid
34 Espace(s) en fin de ligne à supprimer. [[211:212]] => Quand on a plusieurs distributions d'installées sur la machine comme moi, le fait que le swap soit monté avec son nom UUID m'empêche d'utiliser la mise en veille. En effet, chaque install renomme l'UUID du swap.  <|>   => suggestions : ['']
36 Mot inconnu : Donnees [[103:110]] => La solution est de **le monter en /dev/sda13** : un nom qui ne change jamais (derrière ma partition de Donnees).  <|> donnees
36 Espace(s) en fin de ligne à supprimer. [[112:113]] => La solution est de **le monter en /dev/sda13** : un nom qui ne change jamais (derrière ma partition de Donnees).  <|>   => suggestions : ['']

38 Guillemets typographiques ouvrants. [[28:29]] => //Vérifier avec la commande "blkid" car cela dépend de l'ordre de détection par le BIOS.// <|> " => suggestions : ['«\xa0', '“']
38 Mot inconnu : blkid [[29:34]] => //Vérifier avec la commande "blkid" car cela dépend de l'ordre de détection par le BIOS.// <|> blkid
38 Guillemets typographiques fermants. [[34:35]] => //Vérifier avec la commande "blkid" car cela dépend de l'ordre de détection par le BIOS.// <|> " => suggestions : ['\xa0»', '”']

54 Mot inconnu : ATI [[17:20]] => ===== Pilote AMD/ATI ===== <|> ati

56 Guillemets typographiques ouvrants. [[3:4]] => -> "Gestionnaire de paramétres", "Système", "Logiciels et Mises à jour" <|> " => suggestions : ['«\xa0', '“']
56 Mot inconnu : paramétres [[20:30]] => -> "Gestionnaire de paramétres", "Système", "Logiciels et Mises à jour" <|> paramétres
56 Guillemets typographiques fermants. [[30:31]] => -> "Gestionnaire de paramétres", "Système", "Logiciels et Mises à jour" <|> " => suggestions : ['\xa0»', '”']
56 Guillemets typographiques ouvrants. [[33:34]] => -> "Gestionnaire de paramétres", "Système", "Logiciels et Mises à jour" <|> " => suggestions : ['«\xa0', '“']
56 Guillemets typographiques fermants. [[41:42]] => -> "Gestionnaire de paramétres", "Système", "Logiciels et Mises à jour" <|> " => suggestions : ['\xa0»', '”']
56 Guillemets typographiques ouvrants. [[44:45]] => -> "Gestionnaire de paramétres", "Système", "Logiciels et Mises à jour" <|> " => suggestions : ['«\xa0', '“']
56 Guillemets typographiques fermants. [[70:71]] => -> "Gestionnaire de paramétres", "Système", "Logiciels et Mises à jour" <|> " => suggestions : ['\xa0»', '”']

58 Guillemets typographiques ouvrants. [[10:11]] => -> onglet "Pilotes additionnels" : choisir le pilote à activer <|> " => suggestions : ['«\xa0', '“']
58 Guillemets typographiques fermants. [[31:32]] => -> onglet "Pilotes additionnels" : choisir le pilote à activer <|> " => suggestions : ['\xa0»', '”']

63 Mot inconnu : Earth [[44:49]] => Voir si indispensable (en installant Google Earth par exemple). <|> earth

65 Mot inconnu : Grub [[17:21]] => ===== Configurer Grub ===== <|> grub

73 Mot inconnu : grub [[27:31]] => Si je veux un fond d'écran grub autre que celui de Debian, il faut que je mette une image dans le dossier /boot/grub. Puis lancer un **sudo update-grub**. <|> grub
73 Mot inconnu : sudo [[135:139]] => Si je veux un fond d'écran grub autre que celui de Debian, il faut que je mette une image dans le dossier /boot/grub. Puis lancer un **sudo update-grub**. <|> sudo
73 Mot inconnu : update-grub [[140:151]] => Si je veux un fond d'écran grub autre que celui de Debian, il faut que je mette une image dans le dossier /boot/grub. Puis lancer un **sudo update-grub**. <|> update-grub

79 Mot inconnu : menuentry [[32:41]] => <file txt 40_custom_extrait.txt>menuentry "...       Parted Magic" { <|> menuentry
79 Guillemets fermants. [[41:43]] => <file txt 40_custom_extrait.txt>menuentry "...       Parted Magic" { <|>  " => suggestions : ['\xa0»', '”']
79 Typographie : points de suspension. Utilisez le caractère dédié. [[43:46]] => <file txt 40_custom_extrait.txt>menuentry "...       Parted Magic" { <|> ... => suggestions : ['…']
79 Espace(s) surnuméraire(s) à supprimer. [[46:53]] => <file txt 40_custom_extrait.txt>menuentry "...       Parted Magic" { <|>         => suggestions : [' ']
79 Mot inconnu : Parted [[53:59]] => <file txt 40_custom_extrait.txt>menuentry "...       Parted Magic" { <|> parted
79 Mot inconnu : Magic [[60:65]] => <file txt 40_custom_extrait.txt>menuentry "...       Parted Magic" { <|> magic
79 Guillemets typographiques fermants. [[65:66]] => <file txt 40_custom_extrait.txt>menuentry "...       Parted Magic" { <|> " => suggestions : ['\xa0»', '”']

80 Mot inconnu : insmod [[1:7]] => 	insmod loopback <|> insmod
80 Mot inconnu : loopback [[8:16]] => 	insmod loopback <|> loopback

81 Mot inconnu : insmod [[1:7]] => 	insmod iso9660 <|> insmod
81 Mot inconnu : iso9660 [[8:15]] => 	insmod iso9660 <|> iso9660

82 Mot inconnu : isofile [[5:12]] => 	set isofile="/pmagic_2013_08_07.iso" <|> isofile
82 Mot inconnu : pmagic_2013_08_07 [[15:32]] => 	set isofile="/pmagic_2013_08_07.iso" <|> pmagic_2013_08_07
82 Mot inconnu : iso [[33:36]] => 	set isofile="/pmagic_2013_08_07.iso" <|> iso
82 Guillemets typographiques fermants. [[36:37]] => 	set isofile="/pmagic_2013_08_07.iso" <|> " => suggestions : ['\xa0»', '”']

83 Mot inconnu : loopback [[1:9]] => 	loopback loop (hd0,12)$isofile <|> loopback
83 Mot inconnu : loop [[10:14]] => 	loopback loop (hd0,12)$isofile <|> loop
83 Mot inconnu : hd0 [[16:19]] => 	loopback loop (hd0,12)$isofile <|> hd0
83 Il manque un espace. [[20:22]] => 	loopback loop (hd0,12)$isofile <|> 12 => suggestions : [' 12']
83 Mot inconnu : isofile [[24:31]] => 	loopback loop (hd0,12)$isofile <|> isofile
85 Mot inconnu : loop [[8:12]] => 	linux (loop)/pmagic/bzImage keymap=fr-latin1 fr_FR <|> loop
85 Mot inconnu : pmagic [[14:20]] => 	linux (loop)/pmagic/bzImage keymap=fr-latin1 fr_FR <|> pmagic
85 Mot inconnu : bzImage [[21:28]] => 	linux (loop)/pmagic/bzImage keymap=fr-latin1 fr_FR <|> bzimage
85 Mot inconnu : keymap [[29:35]] => 	linux (loop)/pmagic/bzImage keymap=fr-latin1 fr_FR <|> keymap
85 Mot inconnu : fr-latin1 [[36:45]] => 	linux (loop)/pmagic/bzImage keymap=fr-latin1 fr_FR <|> fr-latin1
85 Mot inconnu : fr_FR [[46:51]] => 	linux (loop)/pmagic/bzImage keymap=fr-latin1 fr_FR <|> fr_fr

87 Mot inconnu : initrd [[1:7]] => 	initrd (loop)/pmagic/initrd.img <|> initrd
87 Mot inconnu : loop [[9:13]] => 	initrd (loop)/pmagic/initrd.img <|> loop
87 Mot inconnu : pmagic [[15:21]] => 	initrd (loop)/pmagic/initrd.img <|> pmagic
87 Mot inconnu : initrd [[22:28]] => 	initrd (loop)/pmagic/initrd.img <|> initrd
87 Mot inconnu : img [[29:32]] => 	initrd (loop)/pmagic/initrd.img <|> img

89 Mot inconnu : menuentry [[0:9]] => menuentry "...       Live-CD autres" { <|> menuentry
89 Guillemets fermants. [[9:11]] => menuentry "...       Live-CD autres" { <|>  " => suggestions : ['\xa0»', '”']
89 Typographie : points de suspension. Utilisez le caractère dédié. [[11:14]] => menuentry "...       Live-CD autres" { <|> ... => suggestions : ['…']
89 Espace(s) surnuméraire(s) à supprimer. [[14:21]] => menuentry "...       Live-CD autres" { <|>         => suggestions : [' ']
89 Guillemets typographiques fermants. [[35:36]] => menuentry "...       Live-CD autres" { <|> " => suggestions : ['\xa0»', '”']

90 Mot inconnu : root [[5:9]] => 	set root=(hd0,12) <|> root
90 Mot inconnu : hd0 [[11:14]] => 	set root=(hd0,12) <|> hd0
90 Il manque un espace. [[15:17]] => 	set root=(hd0,12) <|> 12 => suggestions : [' 12']

91 Mot inconnu : configfile [[1:11]] => 	configfile /10_z_autres.cfg <|> configfile
91 Mot inconnu : _z_autres [[15:24]] => 	configfile /10_z_autres.cfg <|> _z_autres
91 Mot inconnu : cfg [[25:28]] => 	configfile /10_z_autres.cfg <|> cfg
105 Mot inconnu : firefox [[6:13]] =>   * **firefox -p** et **thunderbird -p** et pointer vers les profils stockés sur /mnt/Donnees/Docs_systeme. <|> firefox
105 Il manque un espace à côté du tiret. [[13:15]] =>   * **firefox -p** et **thunderbird -p** et pointer vers les profils stockés sur /mnt/Donnees/Docs_systeme. <|>  - => suggestions : [' – ', ' — ']
105 Mot inconnu : thunderbird [[24:35]] =>   * **firefox -p** et **thunderbird -p** et pointer vers les profils stockés sur /mnt/Donnees/Docs_systeme. <|> thunderbird
105 Il manque un espace à côté du tiret. [[35:37]] =>   * **firefox -p** et **thunderbird -p** et pointer vers les profils stockés sur /mnt/Donnees/Docs_systeme. <|>  - => suggestions : [' – ', ' — ']

107 Mot inconnu : pbl [[16:19]] => ===== Flash (si pbl avec version installée) ===== <|> pbl

108 Espace(s) en fin de ligne à supprimer. [[209:210]] => [[http://get.adobe.com/fr/flashplayer/|Page de téléchargement]] (ou [[http://helpx.adobe.com/flash-player/kb/archived-flash-player-versions.html|celle des archives si on a un problème avec version récente]])\\  <|>   => suggestions : ['']

115 Mot inconnu : Donnees [[34:41]] => Raccourcis des dossiers du disque Donnees vers le Home : <|> donnees
116 Mot inconnu : clic_déplacé [[13:25]] =>   * Ctrl+Maj+clic_déplacé du dossier sur le disque "Donnees" vers le dossier utilisateur <|> clic_déplacé
116 Guillemets typographiques ouvrants. [[51:52]] =>   * Ctrl+Maj+clic_déplacé du dossier sur le disque "Donnees" vers le dossier utilisateur <|> " => suggestions : ['«\xa0', '“']
116 Mot inconnu : Donnees [[52:59]] =>   * Ctrl+Maj+clic_déplacé du dossier sur le disque "Donnees" vers le dossier utilisateur <|> donnees
116 Guillemets typographiques fermants. [[59:60]] =>   * Ctrl+Maj+clic_déplacé du dossier sur le disque "Donnees" vers le dossier utilisateur <|> " => suggestions : ['\xa0»', '”']

118 Mot inconnu : Thunar [[5:11]] => ==== Thunar ==== <|> thunar
120 Mot inconnu : root [[39:43]] =>   * Un **sous menu pour ouvrir en mode root** : <|> root

131 Guillemets typographiques ouvrants. [[5:6]] => Dans 'Paramètres du Bureau...', choisir "liste d'images" et ajouter les images souhaitées (notre dossier "Fonds_d'écran"). <|> ' => suggestions : ['“', '‘', '‹']
131 Typographie : points de suspension. Utilisez le caractère dédié. [[26:29]] => Dans 'Paramètres du Bureau...', choisir "liste d'images" et ajouter les images souhaitées (notre dossier "Fonds_d'écran"). <|> ... => suggestions : ['…']
