1 Mot inconnu : REDIRECT [[2:10]] => ~~REDIRECT>tutoriel/samba_ad_dc_members~~ <|> redirect
1 Mot inconnu : samba_ad_dc_members [[20:39]] => ~~REDIRECT>tutoriel/samba_ad_dc_members~~ <|> samba_ad_dc_members

2 Mot inconnu : DC [[16:18]] => ====== Samba AD DC - Intégration de machines au domaine ====== <|> dc
2 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[18:21]] => ====== Samba AD DC - Intégration de machines au domaine ====== <|>  -  => suggestions : [' – ', ' — ', ' − ']

4 Mot inconnu : Directory [[51:60]] => L'intégration d'une machine dans un domaine Active Directory (AD) va permettre d'authentifier les utilisateurs du domaine sur cette machine. Cette authentification se fait vis-à-vis d'un domaine contrôleur (DC). <|> directory
4 Mot inconnu : DC [[207:209]] => L'intégration d'une machine dans un domaine Active Directory (AD) va permettre d'authentifier les utilisateurs du domaine sur cette machine. Cette authentification se fait vis-à-vis d'un domaine contrôleur (DC). <|> dc

10 Mot inconnu : FQDN [[31:35]] => Il est recommandé de mettre le FQDN ((Full Qualified Domain Name: Nom de machine incluant la partie domaine)) de la machine dans le fichier /etc/hostname <|> fqdn
10 Mot inconnu : Qualified [[43:52]] => Il est recommandé de mettre le FQDN ((Full Qualified Domain Name: Nom de machine incluant la partie domaine)) de la machine dans le fichier /etc/hostname <|> qualified
10 Mot inconnu : Domain [[53:59]] => Il est recommandé de mettre le FQDN ((Full Qualified Domain Name: Nom de machine incluant la partie domaine)) de la machine dans le fichier /etc/hostname <|> domain
10 Mot inconnu : Name [[60:64]] => Il est recommandé de mettre le FQDN ((Full Qualified Domain Name: Nom de machine incluant la partie domaine)) de la machine dans le fichier /etc/hostname <|> name

14 Mot inconnu : FQDN [[97:101]] => Pour faciliter la résolution de nom sans passer par le serveur DNS, il faut également ajouter le FQDN dans le fichier /etc/hosts <|> fqdn

16 Espace(s) surnuméraire(s) à supprimer. [[9:16]] => 127.0.0.1       localhost <|>         => suggestions : [' ']
16 Mot inconnu : localhost [[16:25]] => 127.0.0.1       localhost <|> localhost

17 Espace(s) surnuméraire(s) à supprimer. [[9:16]] => 127.0.1.1       ubnwks01.example.com ubnwks01 <|>         => suggestions : [' ']
17 Mot inconnu : ubnwks01 [[37:45]] => 127.0.1.1       ubnwks01.example.com ubnwks01 <|> ubnwks01

19 Mot inconnu : The [[2:5]] => # The following lines are desirable for IPv6 capable hosts <|> the
19 Mot inconnu : following [[6:15]] => # The following lines are desirable for IPv6 capable hosts <|> following
19 Mot inconnu : lines [[16:21]] => # The following lines are desirable for IPv6 capable hosts <|> lines
19 Mot inconnu : desirable [[26:35]] => # The following lines are desirable for IPv6 capable hosts <|> desirable
19 Mot inconnu : IPv6 [[40:44]] => # The following lines are desirable for IPv6 capable hosts <|> ipv6
19 Mot inconnu : hosts [[53:58]] => # The following lines are desirable for IPv6 capable hosts <|> hosts

20 Une de ces ponctuations est superflue. [[0:2]] => ::1     localhost ip6-localhost ip6-loopback <|> :: => suggestions : [':', ':']
20 Espace(s) surnuméraire(s) à supprimer. [[3:8]] => ::1     localhost ip6-localhost ip6-loopback <|>       => suggestions : [' ']
20 Mot inconnu : localhost [[8:17]] => ::1     localhost ip6-localhost ip6-loopback <|> localhost
20 Mot inconnu : ip6-localhost [[18:31]] => ::1     localhost ip6-localhost ip6-loopback <|> ip6-localhost
20 Mot inconnu : ip6-loopback [[32:44]] => ::1     localhost ip6-localhost ip6-loopback <|> ip6-loopback

21 Mot inconnu : ff02 [[0:4]] => ff02::1 ip6-allnodes <|> ff02
21 Une de ces ponctuations est superflue. [[4:6]] => ff02::1 ip6-allnodes <|> :: => suggestions : [':', ':']
21 Mot inconnu : ip6-allnodes [[8:20]] => ff02::1 ip6-allnodes <|> ip6-allnodes

22 Mot inconnu : ff02 [[0:4]] => ff02::2 ip6-allrouters <|> ff02
22 Une de ces ponctuations est superflue. [[4:6]] => ff02::2 ip6-allrouters <|> :: => suggestions : [':', ':']
22 Mot inconnu : ip6-allrouters [[8:22]] => ff02::2 ip6-allrouters <|> ip6-allrouters

24 Mot inconnu : hostname [[16:24]] => Les commandes //hostname// et //hostname -f// doivent retourner le même résultat, le FQDN de la machine, ubnwks01.example.com <|> hostname
24 Mot inconnu : hostname [[32:40]] => Les commandes //hostname// et //hostname -f// doivent retourner le même résultat, le FQDN de la machine, ubnwks01.example.com <|> hostname
24 Il manque un espace à côté du tiret. [[40:42]] => Les commandes //hostname// et //hostname -f// doivent retourner le même résultat, le FQDN de la machine, ubnwks01.example.com <|>  - => suggestions : [' – ', ' — ']
24 Mot inconnu : FQDN [[85:89]] => Les commandes //hostname// et //hostname -f// doivent retourner le même résultat, le FQDN de la machine, ubnwks01.example.com <|> fqdn

26 Mot inconnu : DC [[87:89]] => Une bonne résolution de nom de domaine est indispensable au sein d'un domaine Samba AD DC. Dans le fichier /etc/resolv.conf, il faut retrouver un serveur DNS du domaine et le domaine de recherche. <|> dc

27 Mot inconnu : nameserver [[25:35]] => <file - /etc/resolv.conf>nameserver 192.168.1.11 <|> nameserver

