
6 Mot inconnu : pam_cracklib => ====== Augmenter la sécurité de connexion avec pam_cracklib ====== | pam_cracklib

9 Mot inconnu : PAM => Les bibliothèques PAM (Pluggable Authentication Modules) sont utilisées par défaut pour l'authentification des utilisateurs (et des applications) mais de "façon basique". | pam
9 Mot inconnu : Pluggable => Les bibliothèques PAM (Pluggable Authentication Modules) sont utilisées par défaut pour l'authentification des utilisateurs (et des applications) mais de "façon basique". | pluggable
9 Mot inconnu : Authentication => Les bibliothèques PAM (Pluggable Authentication Modules) sont utilisées par défaut pour l'authentification des utilisateurs (et des applications) mais de "façon basique". | authentication
9 Guillemets typographiques ouvrants. => Les bibliothèques PAM (Pluggable Authentication Modules) sont utilisées par défaut pour l'authentification des utilisateurs (et des applications) mais de "façon basique". | " => suggestions : ['«\xa0', '“']
9 Guillemets typographiques fermants. => Les bibliothèques PAM (Pluggable Authentication Modules) sont utilisées par défaut pour l'authentification des utilisateurs (et des applications) mais de "façon basique". | " => suggestions : ['\xa0»', '”']

10 Espace(s) surnuméraire(s) à supprimer. => Vous pouvez  (devriez) souhaitez augmenter la sécurité de votre machine en imposant des mots de passe plus complexe. La librairie pam_cracklib permet cela. |    => suggestions : [' ']
10 S’il s’agit d’une action que le sujet peut accomplir, le verbe devrait être à l’infinitif. => Vous pouvez  (devriez) souhaitez augmenter la sécurité de votre machine en imposant des mots de passe plus complexe. La librairie pam_cracklib permet cela. | souhaitez => suggestions : ['souhaiter']
10 Mot inconnu : pam_cracklib => Vous pouvez  (devriez) souhaitez augmenter la sécurité de votre machine en imposant des mots de passe plus complexe. La librairie pam_cracklib permet cela. | pam_cracklib

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo apt-get install libpam-cracklib |    => suggestions : ['']
14 Mot inconnu : sudo =>   sudo apt-get install libpam-cracklib | sudo
14 Mot inconnu : apt-get =>   sudo apt-get install libpam-cracklib | apt-get
14 Mot inconnu : install =>   sudo apt-get install libpam-cracklib | install
14 Mot inconnu : libpam-cracklib =>   sudo apt-get install libpam-cracklib | libpam-cracklib

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo vi /etc/pam.d/common-password |    => suggestions : ['']
19 Mot inconnu : sudo =>   sudo vi /etc/pam.d/common-password | sudo
19 Mot inconnu : vi =>   sudo vi /etc/pam.d/common-password | vi

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   password        required        pam_cracklib.so retry=3 minlen=6 difok=3 |    => suggestions : ['']
23 Mot inconnu : password =>   password        required        pam_cracklib.so retry=3 minlen=6 difok=3 | password
23 Espace(s) surnuméraire(s) à supprimer. =>   password        required        pam_cracklib.so retry=3 minlen=6 difok=3 |          => suggestions : [' ']
23 Mot inconnu : required =>   password        required        pam_cracklib.so retry=3 minlen=6 difok=3 | required
23 Espace(s) surnuméraire(s) à supprimer. =>   password        required        pam_cracklib.so retry=3 minlen=6 difok=3 |          => suggestions : [' ']
23 Mot inconnu : pam_cracklib =>   password        required        pam_cracklib.so retry=3 minlen=6 difok=3 | pam_cracklib
23 Mot inconnu : so =>   password        required        pam_cracklib.so retry=3 minlen=6 difok=3 | so
23 Mot inconnu : retry =>   password        required        pam_cracklib.so retry=3 minlen=6 difok=3 | retry
23 Mot inconnu : minlen =>   password        required        pam_cracklib.so retry=3 minlen=6 difok=3 | minlen
23 Mot inconnu : difok =>   password        required        pam_cracklib.so retry=3 minlen=6 difok=3 | difok

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   password        required        pam_unix.so md5 remember=3 use_authtok |    => suggestions : ['']
24 Mot inconnu : password =>   password        required        pam_unix.so md5 remember=3 use_authtok | password
24 Espace(s) surnuméraire(s) à supprimer. =>   password        required        pam_unix.so md5 remember=3 use_authtok |          => suggestions : [' ']
24 Mot inconnu : required =>   password        required        pam_unix.so md5 remember=3 use_authtok | required
24 Espace(s) surnuméraire(s) à supprimer. =>   password        required        pam_unix.so md5 remember=3 use_authtok |          => suggestions : [' ']
24 Mot inconnu : pam_unix =>   password        required        pam_unix.so md5 remember=3 use_authtok | pam_unix
24 Mot inconnu : so =>   password        required        pam_unix.so md5 remember=3 use_authtok | so
24 Mot inconnu : md5 =>   password        required        pam_unix.so md5 remember=3 use_authtok | md5
24 Mot inconnu : remember =>   password        required        pam_unix.so md5 remember=3 use_authtok | remember
24 Mot inconnu : use_authtok =>   password        required        pam_unix.so md5 remember=3 use_authtok | use_authtok

26 Mot inconnu : __options => __options de la première ligne :__ | __options
26 Mot inconnu : __ => __options de la première ligne :__ | __

27 Mot inconnu : retry => retry=3 indique le nombre d'essai avant de devoir relancer **passwd** (n'entraîne pas de blocage!)\\ | retry
27 Mot inconnu : passwd => retry=3 indique le nombre d'essai avant de devoir relancer **passwd** (n'entraîne pas de blocage!)\\ | passwd

28 Mot inconnu : minlen => minlen=8 nombre minimum de caractères du mot de passe\\ | minlen

29 Mot inconnu : difok => difok=3 nombre minimum de caractères différents lors qu'un changement de mot passe\\ | difok
29 Attachez les deux mots. => difok=3 nombre minimum de caractères différents lors qu'un changement de mot passe\\ | lors qu' => suggestions : ['lorsqu’']

31 Mot inconnu : lcredit => lcredit  pour obliger à utiliser des minuscules (**l**ower)\\ | lcredit
31 Espace(s) surnuméraire(s) à supprimer. => lcredit  pour obliger à utiliser des minuscules (**l**ower)\\ |    => suggestions : [' ']
31 Mot inconnu : ower => lcredit  pour obliger à utiliser des minuscules (**l**ower)\\ | ower

32 Mot inconnu : ucredit => ucredit pour obliger à utiliser des majuscules (**u**pper)\\ | ucredit
32 Mot inconnu : pper => ucredit pour obliger à utiliser des majuscules (**u**pper)\\ | pper

33 Mot inconnu : dcredit => dcredit pour obliger à utiliser des chiffres (**d**igital)\\ | dcredit
33 Mot inconnu : igital => dcredit pour obliger à utiliser des chiffres (**d**igital)\\ | igital

34 Mot inconnu : ocredit => ocredit  pour obliger à utiliser d'autres caractères non-alphanumériques (**o**thers)\\ | ocredit
34 Espace(s) surnuméraire(s) à supprimer. => ocredit  pour obliger à utiliser d'autres caractères non-alphanumériques (**o**thers)\\ |    => suggestions : [' ']
34 Mot inconnu : thers => ocredit  pour obliger à utiliser d'autres caractères non-alphanumériques (**o**thers)\\ | thers

38 Mot inconnu : password => password  required  pam_cracklib.so retry=3 minlen=8 difok=3 lcredit=1 ucredit=1 dcredit=3 ocredit=1 | password
38 Espace(s) surnuméraire(s) à supprimer. => password  required  pam_cracklib.so retry=3 minlen=8 difok=3 lcredit=1 ucredit=1 dcredit=3 ocredit=1 |    => suggestions : [' ']
38 Mot inconnu : required => password  required  pam_cracklib.so retry=3 minlen=8 difok=3 lcredit=1 ucredit=1 dcredit=3 ocredit=1 | required
38 Espace(s) surnuméraire(s) à supprimer. => password  required  pam_cracklib.so retry=3 minlen=8 difok=3 lcredit=1 ucredit=1 dcredit=3 ocredit=1 |    => suggestions : [' ']
38 Mot inconnu : pam_cracklib => password  required  pam_cracklib.so retry=3 minlen=8 difok=3 lcredit=1 ucredit=1 dcredit=3 ocredit=1 | pam_cracklib
38 Mot inconnu : so => password  required  pam_cracklib.so retry=3 minlen=8 difok=3 lcredit=1 ucredit=1 dcredit=3 ocredit=1 | so
38 Mot inconnu : retry => password  required  pam_cracklib.so retry=3 minlen=8 difok=3 lcredit=1 ucredit=1 dcredit=3 ocredit=1 | retry
38 Mot inconnu : minlen => password  required  pam_cracklib.so retry=3 minlen=8 difok=3 lcredit=1 ucredit=1 dcredit=3 ocredit=1 | minlen
38 Mot inconnu : difok => password  required  pam_cracklib.so retry=3 minlen=8 difok=3 lcredit=1 ucredit=1 dcredit=3 ocredit=1 | difok
38 Mot inconnu : lcredit => password  required  pam_cracklib.so retry=3 minlen=8 difok=3 lcredit=1 ucredit=1 dcredit=3 ocredit=1 | lcredit
38 Mot inconnu : ucredit => password  required  pam_cracklib.so retry=3 minlen=8 difok=3 lcredit=1 ucredit=1 dcredit=3 ocredit=1 | ucredit
38 Mot inconnu : dcredit => password  required  pam_cracklib.so retry=3 minlen=8 difok=3 lcredit=1 ucredit=1 dcredit=3 ocredit=1 | dcredit
38 Mot inconnu : ocredit => password  required  pam_cracklib.so retry=3 minlen=8 difok=3 lcredit=1 ucredit=1 dcredit=3 ocredit=1 | ocredit

41 Mot inconnu : pam_cracklib => Par défaut, pam_cracklib réaliser des vérifications telle que : | pam_cracklib
42 Guillemets typographiques ouvrants. => le nouveau mot de passe ne change que l'ordre des lettres : "password" vs. "drowssap" | " => suggestions : ['«\xa0', '“']
42 Mot inconnu : password => le nouveau mot de passe ne change que l'ordre des lettres : "password" vs. "drowssap" | password
42 Guillemets typographiques fermants. => le nouveau mot de passe ne change que l'ordre des lettres : "password" vs. "drowssap" | " => suggestions : ['\xa0»', '”']
42 Pas de point après cette abréviation. => le nouveau mot de passe ne change que l'ordre des lettres : "password" vs. "drowssap" | vs. => suggestions : ['vs ']
42 Guillemets typographiques ouvrants. => le nouveau mot de passe ne change que l'ordre des lettres : "password" vs. "drowssap" | " => suggestions : ['«\xa0', '“']
42 Mot inconnu : drowssap => le nouveau mot de passe ne change que l'ordre des lettres : "password" vs. "drowssap" | drowssap
42 Guillemets typographiques fermants. => le nouveau mot de passe ne change que l'ordre des lettres : "password" vs. "drowssap" | " => suggestions : ['\xa0»', '”']
43 Guillemets typographiques ouvrants. => le nouveau mot de passe ne change qu'au niveau de la case : "password" vs. "PassWord" | " => suggestions : ['«\xa0', '“']
43 Mot inconnu : password => le nouveau mot de passe ne change qu'au niveau de la case : "password" vs. "PassWord" | password
43 Guillemets typographiques fermants. => le nouveau mot de passe ne change qu'au niveau de la case : "password" vs. "PassWord" | " => suggestions : ['\xa0»', '”']
43 Pas de point après cette abréviation. => le nouveau mot de passe ne change qu'au niveau de la case : "password" vs. "PassWord" | vs. => suggestions : ['vs ']
43 Guillemets typographiques ouvrants. => le nouveau mot de passe ne change qu'au niveau de la case : "password" vs. "PassWord" | " => suggestions : ['«\xa0', '“']
43 Mot inconnu : PassWord => le nouveau mot de passe ne change qu'au niveau de la case : "password" vs. "PassWord" | password
43 Guillemets typographiques fermants. => le nouveau mot de passe ne change qu'au niveau de la case : "password" vs. "PassWord" | " => suggestions : ['\xa0»', '”']

45 Mot inconnu : __options => __options de la seconde ligne :__\\ | __options
45 Mot inconnu : __ => __options de la seconde ligne :__\\ | __

46 Mot inconnu : md5 => md5 permet de définir le codage pour le hachage (hash) \\ | md5
46 Mot inconnu : hash => md5 permet de définir le codage pour le hachage (hash) \\ | hash

47 Mot inconnu : remember => remember permet de spécifier le nombre d'anciens mots de passe à mémoriser pour empêcher leur réutilisation\\ | remember

48 Mot inconnu : use_authtok => use_authtok spécifier à pam_unix de ne pas réaliser ses propres vérifications du mot de passe\\ | use_authtok
48 Mot inconnu : pam_unix => use_authtok spécifier à pam_unix de ne pas réaliser ses propres vérifications du mot de passe\\ | pam_unix

50 Mot inconnu : PASS_MAX_DAYS => La durée de vie des mots de passe doit être définie via la variable **PASS_MAX_DAYS** dans le fichier **/etc/login.defs** | pass_max_days

53 Mot inconnu : restrictions_horaires => * [[/tutoriel/restrictions_horaires]]\\ | restrictions_horaires

54 Mot inconnu : eng => * **(eng)** [[http://www.deer-run.com/~hal/sysadmin/pam_cracklib.html]]\\ | eng
54 Mot inconnu : hal => * **(eng)** [[http://www.deer-run.com/~hal/sysadmin/pam_cracklib.html]]\\ | hal
54 Mot inconnu : pam_cracklib => * **(eng)** [[http://www.deer-run.com/~hal/sysadmin/pam_cracklib.html]]\\ | pam_cracklib
54 Mot inconnu : html => * **(eng)** [[http://www.deer-run.com/~hal/sysadmin/pam_cracklib.html]]\\ | html
