2 Mot inconnu : LiveBox [[30:37]] => ==== Première connexion à une LiveBox ==== <|> livebox

3 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. [[72:73]] => Pour faire fonctionner le wifi avec une Live box, il n'y a en fait rien a changer sur le PC: il faut mettre la Live box en mode association en appuyant sur le bouton N° 1 sur le coté de la box. Puis rentrer la clé WEP ou WPA quand Ubuntu vous le demande. <|> a => suggestions : ['à']
3 Incohérence probable avec “a” : “changer” n’est pas un participe passé. [[74:81]] => Pour faire fonctionner le wifi avec une Live box, il n'y a en fait rien a changer sur le PC: il faut mettre la Live box en mode association en appuyant sur le bouton N° 1 sur le coté de la box. Puis rentrer la clé WEP ou WPA quand Ubuntu vous le demande. <|> changer => suggestions : ['changé']
3 Confusion : “coté” est le participe passé du verbe “coter”. [[178:182]] => Pour faire fonctionner le wifi avec une Live box, il n'y a en fait rien a changer sur le PC: il faut mettre la Live box en mode association en appuyant sur le bouton N° 1 sur le coté de la box. Puis rentrer la clé WEP ou WPA quand Ubuntu vous le demande. <|> coté => suggestions : ['côté']
3 Mot inconnu : WEP [[214:217]] => Pour faire fonctionner le wifi avec une Live box, il n'y a en fait rien a changer sur le PC: il faut mettre la Live box en mode association en appuyant sur le bouton N° 1 sur le coté de la box. Puis rentrer la clé WEP ou WPA quand Ubuntu vous le demande. <|> wep
3 Mot inconnu : WPA [[221:224]] => Pour faire fonctionner le wifi avec une Live box, il n'y a en fait rien a changer sur le PC: il faut mettre la Live box en mode association en appuyant sur le bouton N° 1 sur le coté de la box. Puis rentrer la clé WEP ou WPA quand Ubuntu vous le demande. <|> wpa

5 Mot inconnu : WPA [[8:11]] => ====Clé WPA redemandée à chaque démarrage==== <|> wpa

7 Il manque un “s”. Il y en a plusieurs dans un troupeau. [[106:109]] => Si votre clé d'accès à la borne est redemandée sans cesse et que vous ne voulez pas avoir de trousseau de clé à débloquer toujours : <|> clé => suggestions : ['clés']

15 Mot inconnu : network-manager [[42:57]] => Le logiciel de configuration du réseau (**network-manager, Wicd, etc**) arrive à détecter les réseaux sans fil disponibles, mais quand vous cliquez pour vous connecter, la connexion n'aboutit pas. <|> network-manager
