
5 Mot inconnu : LDAP => ====== LDAP client ====== | ldap

12 Mot inconnu : Mint => Cette page explique la configuration d'une machine sous Ubuntu 14.04 / Linux Mint 17 afin d'authentifier les utilisateurs enregistrés dans un LDAP | mint
12 Mot inconnu : LDAP => Cette page explique la configuration d'une machine sous Ubuntu 14.04 / Linux Mint 17 afin d'authentifier les utilisateurs enregistrés dans un LDAP | ldap

17 Mot inconnu : sudo => sudo apt-get install libpam-ldap nscd</code> | sudo
17 Mot inconnu : apt-get => sudo apt-get install libpam-ldap nscd</code> | apt-get
17 Mot inconnu : install => sudo apt-get install libpam-ldap nscd</code> | install
17 Mot inconnu : libpam-ldap => sudo apt-get install libpam-ldap nscd</code> | libpam-ldap
17 Mot inconnu : nscd => sudo apt-get install libpam-ldap nscd</code> | nscd

18 Mot inconnu : nscd => l'installation de nscd necessite de répondre à quelques question : | nscd
18 Mot inconnu : necessite => l'installation de nscd necessite de répondre à quelques question : | necessite
18 Accord de nombre erroné : « question » devrait être au pluriel. => l'installation de nscd necessite de répondre à quelques question : | question => suggestions : ['questions']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ldap server Uniform Resource Identifier :  |    => suggestions : ['']
19 Mot inconnu : ldap =>   * ldap server Uniform Resource Identifier :  | ldap
19 Mot inconnu : server =>   * ldap server Uniform Resource Identifier :  | server
19 Mot inconnu : Uniform =>   * ldap server Uniform Resource Identifier :  | uniform
19 Mot inconnu : Resource =>   * ldap server Uniform Resource Identifier :  | resource
19 Espace(s) en fin de ligne à supprimer. =>   * ldap server Uniform Resource Identifier :  |   => suggestions : ['']

22 Mot inconnu : exterieur => Vous pouvez également indiquer plusieurs adresses comme un serveur principal et un serveur de secours, ou encore, l'IP privée puis l'IP publique de votre serveur (si vous avec par exemple à utiliser le même compte dans vos locaux ou à l'exterieur) | exterieur

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Distinguish name of the search base: |    => suggestions : ['']
25 Mot inconnu : Distinguish =>   * Distinguish name of the search base: | distinguish
25 Mot inconnu : name =>   * Distinguish name of the search base: | name
25 Mot inconnu : of =>   * Distinguish name of the search base: | of
25 Mot inconnu : the =>   * Distinguish name of the search base: | the
25 Mot inconnu : search =>   * Distinguish name of the search base: | search

26 Mot inconnu : dn => vous devez renseigner le dn de votre base | dn

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * LDAP Version |    => suggestions : ['']
29 Mot inconnu : LDAP =>   * LDAP Version | ldap

30 Conjugaison erronée. Accord avec “la version…”. Le verbe devrait être à la 3ᵉ personne du singulier. => choisissez 3, la version 2 tends à devenir obsolète et est moins sécurisée | tends => suggestions : ['tend']

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Make local root Database admin : |    => suggestions : ['']
31 Mot inconnu : Make =>   * Make local root Database admin : | make
31 Mot inconnu : root =>   * Make local root Database admin : | root
31 Mot inconnu : Database =>   * Make local root Database admin : | database

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Does the LDAP database require login?  |    => suggestions : ['']
33 Mot inconnu : Does =>   * Does the LDAP database require login?  | does
33 Mot inconnu : the =>   * Does the LDAP database require login?  | the
33 Mot inconnu : LDAP =>   * Does the LDAP database require login?  | ldap
33 Mot inconnu : database =>   * Does the LDAP database require login?  | database
33 Mot inconnu : require =>   * Does the LDAP database require login?  | require
33 Espace(s) en fin de ligne à supprimer. =>   * Does the LDAP database require login?  |   => suggestions : ['']

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * LDAP account for root: |    => suggestions : ['']
35 Mot inconnu : LDAP =>   * LDAP account for root: | ldap
35 Mot inconnu : account =>   * LDAP account for root: | account
35 Mot inconnu : root =>   * LDAP account for root: | root

50 Mot inconnu : passwd => Modifiez les 3 lignes passwd, group et shadow en ajoutant ldap à la fin de la ligne : | passwd
50 Mot inconnu : group => Modifiez les 3 lignes passwd, group et shadow en ajoutant ldap à la fin de la ligne : | group
50 Mot inconnu : shadow => Modifiez les 3 lignes passwd, group et shadow en ajoutant ldap à la fin de la ligne : | shadow
50 Mot inconnu : ldap => Modifiez les 3 lignes passwd, group et shadow en ajoutant ldap à la fin de la ligne : | ldap

56 Guillemets typographiques ouvrants. => <note tip>Ajoutez bien la mention "ldap" en fin de ligne afin d'accélerer les authentifications qui ne requiert pas LDAP, en effet, les différentes possibilités d'authentification sont traitées dans l'ordre que vous indiquez dans ce fichier.</note> | " => suggestions : ['«\xa0', '“']
56 Mot inconnu : ldap => <note tip>Ajoutez bien la mention "ldap" en fin de ligne afin d'accélerer les authentifications qui ne requiert pas LDAP, en effet, les différentes possibilités d'authentification sont traitées dans l'ordre que vous indiquez dans ce fichier.</note> | ldap
56 Guillemets typographiques fermants. => <note tip>Ajoutez bien la mention "ldap" en fin de ligne afin d'accélerer les authentifications qui ne requiert pas LDAP, en effet, les différentes possibilités d'authentification sont traitées dans l'ordre que vous indiquez dans ce fichier.</note> | " => suggestions : ['\xa0»', '”']
56 Mot inconnu : accélerer => <note tip>Ajoutez bien la mention "ldap" en fin de ligne afin d'accélerer les authentifications qui ne requiert pas LDAP, en effet, les différentes possibilités d'authentification sont traitées dans l'ordre que vous indiquez dans ce fichier.</note> | accélerer
56 Mot inconnu : LDAP => <note tip>Ajoutez bien la mention "ldap" en fin de ligne afin d'accélerer les authentifications qui ne requiert pas LDAP, en effet, les différentes possibilités d'authentification sont traitées dans l'ordre que vous indiquez dans ce fichier.</note> | ldap

58 Forme interrogative ? Mettez un trait d’union. => Attaquons nous maintenant à la configuration de PAM (Pluggable Authentication Module) | attaquons nous => suggestions : ['Attaquons-nous']
58 Mot inconnu : PAM => Attaquons nous maintenant à la configuration de PAM (Pluggable Authentication Module) | pam
58 Mot inconnu : Pluggable => Attaquons nous maintenant à la configuration de PAM (Pluggable Authentication Module) | pluggable
58 Mot inconnu : Authentication => Attaquons nous maintenant à la configuration de PAM (Pluggable Authentication Module) | authentication

59 Mot inconnu : Editez => Editez le fichier /etc/pam.d/common-session | editez

61 Incohérence avec “du” : “ficher” est un verbe. => Allez à la fin du ficher et ajoutez cette ligne : | ficher => suggestions : ['fiches', 'fiche']

64 Mot inconnu : LDAP => Cette configuration est suffisante pour permettre l'authentification LDAP, mais vous pouvez aller plus loin avec ces quelques éléments : | ldap

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  <note> |   => suggestions : ['']

66 Mot inconnu : PAM => ===== Configuration de PAM ===== | pam

68 Mot inconnu : PAM => La configuration de PAM est divisée en 4 fichiers : common-account, common-auth, common-password and common-session | pam
68 Mot inconnu : common-account => La configuration de PAM est divisée en 4 fichiers : common-account, common-auth, common-password and common-session | common-account
68 Mot inconnu : common-auth => La configuration de PAM est divisée en 4 fichiers : common-account, common-auth, common-password and common-session | common-auth
68 Mot inconnu : common-password => La configuration de PAM est divisée en 4 fichiers : common-account, common-auth, common-password and common-session | common-password
68 Mot inconnu : and => La configuration de PAM est divisée en 4 fichiers : common-account, common-auth, common-password and common-session | and
68 Mot inconnu : common-session => La configuration de PAM est divisée en 4 fichiers : common-account, common-auth, common-password and common-session | common-session

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo vi /etc/pam.d/common-account |    => suggestions : ['']
72 Mot inconnu : sudo =>   sudo vi /etc/pam.d/common-account | sudo
72 Mot inconnu : vi =>   sudo vi /etc/pam.d/common-account | vi

77 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   account	sufficient	pam_ldap.so |    => suggestions : ['']
77 Mot inconnu : account =>   account	sufficient	pam_ldap.so | account
77 Mot inconnu : sufficient =>   account	sufficient	pam_ldap.so | sufficient
77 Mot inconnu : pam_ldap =>   account	sufficient	pam_ldap.so | pam_ldap
77 Mot inconnu : so =>   account	sufficient	pam_ldap.so | so

