
5 Mot inconnu : LDAP => ====== LDAP client ====== | ldap

13 Mot inconnu : Mint => Cette page explique la configuration d'une machine sous Ubuntu 14.04 / Linux Mint 17 afin d'authentifier les utilisateurs enregistrés dans un LDAP | mint
13 Mot inconnu : LDAP => Cette page explique la configuration d'une machine sous Ubuntu 14.04 / Linux Mint 17 afin d'authentifier les utilisateurs enregistrés dans un LDAP | ldap

18 Mot inconnu : sudo => sudo apt-get install libpam-ldap nscd</code> | sudo
18 Mot inconnu : apt-get => sudo apt-get install libpam-ldap nscd</code> | apt-get
18 Mot inconnu : install => sudo apt-get install libpam-ldap nscd</code> | install
18 Mot inconnu : libpam-ldap => sudo apt-get install libpam-ldap nscd</code> | libpam-ldap
18 Mot inconnu : nscd => sudo apt-get install libpam-ldap nscd</code> | nscd

19 Mot inconnu : nscd => l'installation de nscd necessite de répondre à quelques question : | nscd
19 Mot inconnu : necessite => l'installation de nscd necessite de répondre à quelques question : | necessite
19 Accord de nombre erroné : « question » devrait être au pluriel. => l'installation de nscd necessite de répondre à quelques question : | question => suggestions : ['questions']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ldap server Uniform Resource Identifier :  |    => suggestions : ['']
20 Mot inconnu : ldap =>   * ldap server Uniform Resource Identifier :  | ldap
20 Mot inconnu : server =>   * ldap server Uniform Resource Identifier :  | server
20 Mot inconnu : Uniform =>   * ldap server Uniform Resource Identifier :  | uniform
20 Mot inconnu : Resource =>   * ldap server Uniform Resource Identifier :  | resource
20 Espace(s) en fin de ligne à supprimer. =>   * ldap server Uniform Resource Identifier :  |   => suggestions : ['']

23 Mot inconnu : exterieur => Vous pouvez également indiquer plusieurs adresses comme un serveur principal et un serveur de secours, ou encore, l'IP privée puis l'IP publique de votre serveur (si vous avec par exemple à utiliser le même compte dans vos locaux ou à l'exterieur) | exterieur

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Distinguish name of the search base: |    => suggestions : ['']
26 Mot inconnu : Distinguish =>   * Distinguish name of the search base: | distinguish
26 Mot inconnu : name =>   * Distinguish name of the search base: | name
26 Mot inconnu : of =>   * Distinguish name of the search base: | of
26 Mot inconnu : the =>   * Distinguish name of the search base: | the
26 Mot inconnu : search =>   * Distinguish name of the search base: | search

27 Mot inconnu : dn => vous devez renseigner le dn de votre base | dn

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * LDAP Version |    => suggestions : ['']
30 Mot inconnu : LDAP =>   * LDAP Version | ldap

31 Conjugaison erronée. Accord avec “la version…”. Le verbe devrait être à la 3ᵉ personne du singulier. => choisissez 3, la version 2 tends à devenir obsolète et est moins sécurisée | tends => suggestions : ['tend']

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Make local root Database admin : |    => suggestions : ['']
32 Mot inconnu : Make =>   * Make local root Database admin : | make
32 Mot inconnu : root =>   * Make local root Database admin : | root
32 Mot inconnu : Database =>   * Make local root Database admin : | database

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Does the LDAP database require login?  |    => suggestions : ['']
34 Mot inconnu : Does =>   * Does the LDAP database require login?  | does
34 Mot inconnu : the =>   * Does the LDAP database require login?  | the
34 Mot inconnu : LDAP =>   * Does the LDAP database require login?  | ldap
34 Mot inconnu : database =>   * Does the LDAP database require login?  | database
34 Mot inconnu : require =>   * Does the LDAP database require login?  | require
34 Espace(s) en fin de ligne à supprimer. =>   * Does the LDAP database require login?  |   => suggestions : ['']

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * LDAP account for root: |    => suggestions : ['']
36 Mot inconnu : LDAP =>   * LDAP account for root: | ldap
36 Mot inconnu : account =>   * LDAP account for root: | account
36 Mot inconnu : root =>   * LDAP account for root: | root

48 Mot inconnu : nano => Tout d'abord, éditez le fichier /etc/nsswitch.conf, j'utilise ici l'éditeur nano [[https://doc.ubuntu-fr.org/nano]]  | nano
48 Espace(s) en fin de ligne à supprimer. => Tout d'abord, éditez le fichier /etc/nsswitch.conf, j'utilise ici l'éditeur nano [[https://doc.ubuntu-fr.org/nano]]  |   => suggestions : ['']

51 Mot inconnu : passwd => Modifiez les 3 lignes passwd, group et shadow en ajoutant ldap à la fin de la ligne : | passwd
51 Mot inconnu : group => Modifiez les 3 lignes passwd, group et shadow en ajoutant ldap à la fin de la ligne : | group
51 Mot inconnu : shadow => Modifiez les 3 lignes passwd, group et shadow en ajoutant ldap à la fin de la ligne : | shadow
51 Mot inconnu : ldap => Modifiez les 3 lignes passwd, group et shadow en ajoutant ldap à la fin de la ligne : | ldap

57 Guillemets typographiques ouvrants. => <note tip>Ajoutez bien la mention "ldap" en fin de ligne afin d'accélerer les authentifications qui ne requiert pas LDAP, en effet, les différentes possibilités d'authentification sont traitées dans l'ordre que vous indiquez dans ce fichier.</note> | " => suggestions : ['«\xa0', '“']
57 Mot inconnu : ldap => <note tip>Ajoutez bien la mention "ldap" en fin de ligne afin d'accélerer les authentifications qui ne requiert pas LDAP, en effet, les différentes possibilités d'authentification sont traitées dans l'ordre que vous indiquez dans ce fichier.</note> | ldap
57 Guillemets typographiques fermants. => <note tip>Ajoutez bien la mention "ldap" en fin de ligne afin d'accélerer les authentifications qui ne requiert pas LDAP, en effet, les différentes possibilités d'authentification sont traitées dans l'ordre que vous indiquez dans ce fichier.</note> | " => suggestions : ['\xa0»', '”']
57 Mot inconnu : accélerer => <note tip>Ajoutez bien la mention "ldap" en fin de ligne afin d'accélerer les authentifications qui ne requiert pas LDAP, en effet, les différentes possibilités d'authentification sont traitées dans l'ordre que vous indiquez dans ce fichier.</note> | accélerer
57 Mot inconnu : LDAP => <note tip>Ajoutez bien la mention "ldap" en fin de ligne afin d'accélerer les authentifications qui ne requiert pas LDAP, en effet, les différentes possibilités d'authentification sont traitées dans l'ordre que vous indiquez dans ce fichier.</note> | ldap

59 Forme interrogative ? Mettez un trait d’union. => Attaquons nous maintenant à la configuration de PAM (Pluggable Authentication Module) | attaquons nous => suggestions : ['Attaquons-nous']
59 Mot inconnu : PAM => Attaquons nous maintenant à la configuration de PAM (Pluggable Authentication Module) | pam
59 Mot inconnu : Pluggable => Attaquons nous maintenant à la configuration de PAM (Pluggable Authentication Module) | pluggable
59 Mot inconnu : Authentication => Attaquons nous maintenant à la configuration de PAM (Pluggable Authentication Module) | authentication

60 Mot inconnu : Editez => Editez le fichier /etc/pam.d/common-session | editez

62 Incohérence avec “du” : “ficher” est un verbe. => Allez à la fin du ficher et ajoutez cette ligne : | ficher => suggestions : ['fiche', 'fiches']

65 Mot inconnu : LDAP => Cette configuration est suffisante pour permettre l'authentification LDAP, mais vous pouvez aller plus loin avec ces quelques éléments : | ldap

66 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  <note> |   => suggestions : ['']

67 Mot inconnu : PAM => ===== Configuration de PAM ===== | pam

69 Mot inconnu : PAM => La configuration de PAM est divisée en 4 fichiers : common-account, common-auth, common-password and common-session | pam
69 Mot inconnu : common-account => La configuration de PAM est divisée en 4 fichiers : common-account, common-auth, common-password and common-session | common-account
69 Mot inconnu : common-auth => La configuration de PAM est divisée en 4 fichiers : common-account, common-auth, common-password and common-session | common-auth
69 Mot inconnu : common-password => La configuration de PAM est divisée en 4 fichiers : common-account, common-auth, common-password and common-session | common-password
69 Mot inconnu : and => La configuration de PAM est divisée en 4 fichiers : common-account, common-auth, common-password and common-session | and
69 Mot inconnu : common-session => La configuration de PAM est divisée en 4 fichiers : common-account, common-auth, common-password and common-session | common-session

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo vi /etc/pam.d/common-account |    => suggestions : ['']
73 Mot inconnu : sudo =>   sudo vi /etc/pam.d/common-account | sudo
73 Mot inconnu : vi =>   sudo vi /etc/pam.d/common-account | vi

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   account	sufficient	pam_ldap.so |    => suggestions : ['']
78 Mot inconnu : account =>   account	sufficient	pam_ldap.so | account
78 Mot inconnu : sufficient =>   account	sufficient	pam_ldap.so | sufficient
78 Mot inconnu : pam_ldap =>   account	sufficient	pam_ldap.so | pam_ldap
78 Mot inconnu : so =>   account	sufficient	pam_ldap.so | so

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   account	required	pam_unix.so |    => suggestions : ['']
79 Mot inconnu : account =>   account	required	pam_unix.so | account
79 Mot inconnu : required =>   account	required	pam_unix.so | required
79 Mot inconnu : pam_unix =>   account	required	pam_unix.so | pam_unix
79 Mot inconnu : so =>   account	required	pam_unix.so | so

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo vi /etc/pam.d/common-auth |    => suggestions : ['']
84 Mot inconnu : sudo =>   sudo vi /etc/pam.d/common-auth | sudo
84 Mot inconnu : vi =>   sudo vi /etc/pam.d/common-auth | vi

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   auth	sufficient	pam_ldap.so |    => suggestions : ['']
88 Mot inconnu : auth =>   auth	sufficient	pam_ldap.so | auth
88 Mot inconnu : sufficient =>   auth	sufficient	pam_ldap.so | sufficient
88 Mot inconnu : pam_ldap =>   auth	sufficient	pam_ldap.so | pam_ldap
88 Mot inconnu : so =>   auth	sufficient	pam_ldap.so | so

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   auth	required	pam_unix.so nullok_secure use_first_pass |    => suggestions : ['']
89 Mot inconnu : auth =>   auth	required	pam_unix.so nullok_secure use_first_pass | auth
89 Mot inconnu : required =>   auth	required	pam_unix.so nullok_secure use_first_pass | required
89 Mot inconnu : pam_unix =>   auth	required	pam_unix.so nullok_secure use_first_pass | pam_unix
89 Mot inconnu : so =>   auth	required	pam_unix.so nullok_secure use_first_pass | so
89 Mot inconnu : nullok_secure =>   auth	required	pam_unix.so nullok_secure use_first_pass | nullok_secure
89 Mot inconnu : use_first_pass =>   auth	required	pam_unix.so nullok_secure use_first_pass | use_first_pass

96 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo vi /etc/pam.d/common-password |    => suggestions : ['']
96 Mot inconnu : sudo =>   sudo vi /etc/pam.d/common-password | sudo
96 Mot inconnu : vi =>   sudo vi /etc/pam.d/common-password | vi

101 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   password	sufficient	pam_ldap.so |    => suggestions : ['']
101 Mot inconnu : password =>   password	sufficient	pam_ldap.so | password
101 Mot inconnu : sufficient =>   password	sufficient	pam_ldap.so | sufficient
101 Mot inconnu : pam_ldap =>   password	sufficient	pam_ldap.so | pam_ldap
101 Mot inconnu : so =>   password	sufficient	pam_ldap.so | so

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   password	required	pam_unix.so nullok obscure min=4 max=8 md5 |    => suggestions : ['']
102 Mot inconnu : password =>   password	required	pam_unix.so nullok obscure min=4 max=8 md5 | password
102 Mot inconnu : required =>   password	required	pam_unix.so nullok obscure min=4 max=8 md5 | required
102 Mot inconnu : pam_unix =>   password	required	pam_unix.so nullok obscure min=4 max=8 md5 | pam_unix
102 Mot inconnu : so =>   password	required	pam_unix.so nullok obscure min=4 max=8 md5 | so
102 Mot inconnu : nullok =>   password	required	pam_unix.so nullok obscure min=4 max=8 md5 | nullok
102 Si “md5” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   password	required	pam_unix.so nullok obscure min=4 max=8 md5 | 8 md5 => suggestions : ['8\xa0md5']
102 Mot inconnu : md5 =>   password	required	pam_unix.so nullok obscure min=4 max=8 md5 | md5

107 Guillemets typographiques ouvrants. => Pour l'utilisation de mots de passe plus difficiles à casser, il vous suffit d'installer le paquet ''libpam-cracklib'' : | '' => suggestions : ['«\xa0', '“']
107 Mot inconnu : libpam-cracklib => Pour l'utilisation de mots de passe plus difficiles à casser, il vous suffit d'installer le paquet ''libpam-cracklib'' : | libpam-cracklib
107 Guillemets typographiques fermants. => Pour l'utilisation de mots de passe plus difficiles à casser, il vous suffit d'installer le paquet ''libpam-cracklib'' : | '' => suggestions : ['\xa0»', '”']

109 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo apt-get install libpam-cracklib |    => suggestions : ['']
